run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,value_softmax_p_chosen,uv_p_chosen
1,1,DEV,scram,78,0.60713,0,47.6057,1184,8.0746,9.2745,9.3251,10.2245,5.1,scram_2.png,0.00265957446808511,9.76032297308897e-52
1,2,DEV,scram,78,0.46588,0,36.3728,2017,15.3577,17.3908,17.4409,18.3408,1.1,scram_7.png,0.00265957446808511,7.05215751496679e-51
1,3,DEV,scram,80,0.34528,0,27.486,3168,19.4408,22.6239,22.674,23.5739,2.1,scram_20.png,0.00265957446808511,2.01964639869645e-20
1,4,DEV,scram,72,0.54105,0,39.0177,1534,25.6905,27.2404,27.2904,28.1903,5.1,scram_12.png,0.00265957446808511,4.75883459415162e-29
1,5,DEV,scram,67,0.73488,67,49.1186,618,33.2901,33.9234,33.9735,34.8733,0.1,scram_19.png,0.000101094754134701,3.12160600810489e-12
1,6,DEV,scram,76,0.71051,76,53.6934,718,34.9735,35.7066,35.7567,36.6566,0.1,scram_4.png,9.89903885598054e-06,5.14962623679466e-11
1,7,DEV,scram,71,0.70668,71,49.9498,734,36.7567,37.5065,37.5566,38.4565,1.1,scram_15.png,2.24695678286402e-05,8.4122838998769e-10
1,8,DEV,scram,67,0.73488,0,49.1186,618,39.5565,40.1897,40.2398,41.1397,0.1,scram_24.png,0.00223296160119624,1.10853779485707e-15
1,9,DEV,scram,72,0.67926,72,49.2236,851,41.2398,42.1063,42.1564,43.0563,3.1,scram_5.png,6.58182249558896e-05,5.39762414793477e-16
1,10,DEV,scram,77,0.67172,0,51.5053,884,46.1562,47.0561,47.1062,48.0061,3.1,scram_9.png,5.7997565776581e-05,5.68751928831167e-20
1,11,DEV,scram,84,0.31648,84,26.4291,3534,51.106,54.6557,54.7058,55.6057,0.1,scram_18.png,2.33791081537438e-05,1.75167277952358e-08
1,12,DEV,scram,85,0.31264,0,26.4578,3584,55.7057,59.3055,59.3556,60.2555,1.1,scram_3.png,5.15883333002745e-12,8.95542097893172e-05
1,13,DEV,scram,87,0.30881,0,26.7866,3634,61.3555,65.0053,65.0553,65.9552,1.1,scram_21.png,6.31385891667866e-16,1.3286176242147e-10
1,14,DEV,scram,77,0.62427,77,48.0443,1101,67.0552,68.1718,68.2218,69.1217,1.1,scram_17.png,5.84972878614108e-06,1.87863685698604e-06
1,15,DEV,scram,71,0.64938,0,46.294,984,70.2217,71.2216,71.2717,72.1716,4.1,scram_1.png,5.1912278738812e-05,1.12960437027982e-05
1,16,DEV,scram,83,0.32288,83,26.8995,3451,76.2714,79.7379,79.7879,80.6879,10.1,scram_16.png,1.07447734170037e-08,4.84137238860817e-05
1,17,DEV,scram,81,0.33066,0,26.8061,3351,90.7875,94.1539,94.2039,95.1039,1.1,scram_14.png,1.01952889542783e-11,4.01143914968065e-09
1,18,DEV,scram,69,0.72261,69,50.0123,668,96.2039,96.8871,96.9372,97.8371,2.1,scram_6.png,0.00302922347677993,0.000976899618510445
1,19,DEV,scram,78,0.41622,0,32.6512,2417,99.937,102.3702,102.4202,103.3201,5.1,scram_22.png,2.49309488915351e-17,8.9636240682628e-13
1,20,DEV,scram,85,0.34667,0,29.3148,3151,108.4533,111.6197,111.6698,112.5697,0.1,scram_23.png,3.24838911244091e-17,1.22886319572476e-14
1,21,DEV,scram,89,0.30366,0,26.9943,3701,112.6864,116.4029,116.4529,117.3528,0.1,scram_13.png,2.27472737021496e-17,2.6136595548431e-15
1,22,DEV,scram,67,0.75997,67,50.9558,518,117.4529,117.9861,118.0362,118.9361,0.1,scram_25.png,0.0106900925456571,0.0062951658429515
1,23,DEV,scram,72,0.66403,72,47.7371,918,119.0694,120.0027,120.0527,120.9526,0.1,scram_11.png,6.42297507867283e-05,2.84818272846889e-05
1,24,DEV,scram,71,0.70668,0,49.9498,734,121.0693,121.8193,121.8693,122.7692,4.1,scram_10.png,0.00178913704165113,0.000811061615530879
1,25,DEV,scram,71,0.66403,0,47.0731,918,126.8691,127.8023,127.8524,128.7523,2.1,scram_8.png,0.000162649166238763,8.33912671473786e-05
1,26,DEV,scram,70,0.74333,0,51.7192,584,130.8522,131.4521,131.5022,132.4021,8.1,scram_21.png,0.0111900335290893,0.00726384324229384
1,27,DEV,scram,81,0.31771,81,25.8844,3518,140.5185,144.0516,144.1016,145.0015,4.1,scram_16.png,2.24850356031989e-10,8.28927025686703e-08
1,28,DEV,scram,83,0.332,0,27.5643,3334,149.118,152.4678,152.5179,153.4178,0.1,scram_14.png,2.21963774159513e-12,3.33237739966488e-10
1,29,DEV,scram,78,0.60713,78,47.6057,1184,153.5345,154.7344,154.7845,155.6843,3.1,scram_19.png,6.17177555729303e-05,6.64233257423696e-05
1,30,DEV,scram,77,0.56184,0,43.0267,1418,158.8009,160.2342,160.2842,161.1841,2.1,scram_23.png,8.93200897658084e-07,2.72598274670966e-06
1,31,DEV,scram,76,0.4999,0,38.0809,1784,163.3007,165.1006,165.1506,166.0505,0.1,scram_4.png,3.28700408456936e-10,9.89274541775005e-09
1,32,DEV,scram,87,0.31395,0,27.1836,3567,166.1672,169.7503,169.8004,170.7003,1.1,scram_3.png,2.88917815043849e-13,3.9204706887734e-11
1,33,DEV,scram,74,0.71051,74,52.2724,718,171.817,172.5502,172.6003,173.5002,1.1,scram_1.png,0.00272988692353045,0.00144850738546758
1,34,DEV,scram,68,0.72676,68,49.4821,651,174.6168,175.2834,175.3335,176.2334,7.1,scram_13.png,0.00507268808706043,0.00310861448173276
1,35,DEV,scram,76,0.69085,76,52.6006,801,183.3498,184.1663,184.2164,185.1163,0.1,scram_7.png,0.00120168893201374,0.000713956598784895
1,36,DEV,scram,70,0.64567,0,45.4482,1001,185.233,186.2496,186.2996,187.1995,0.1,scram_8.png,9.55767878977062e-05,7.05784628939376e-05
1,37,DEV,scram,74,0.64938,74,48.2422,984,187.3162,188.3161,188.3662,189.2661,2.1,scram_18.png,0.000177533645880917,0.000125077503015282
1,38,DEV,scram,71,0.70668,71,49.9498,734,191.3827,192.1326,192.1827,193.0826,0.1,scram_10.png,0.00272060287537336,0.00173524434920296
1,39,DEV,scram,75,0.71872,75,54.1389,684,193.1993,193.8992,193.9493,194.8492,0.1,scram_15.png,0.00410246582499329,0.00280202446216594
1,40,DEV,scram,74,0.66786,74,49.2776,901,194.9659,195.8824,195.9325,196.8324,1.1,scram_5.png,0.000490301852373325,0.000356680149753761
1,41,DEV,scram,73,0.73488,73,53.5279,618,197.9491,198.5823,198.6323,199.5323,8.1,scram_11.png,0.00732775806141817,0.00547920595338119
1,42,DEV,scram,86,0.30627,86,26.2839,3667,207.6486,211.3317,211.3818,212.2817,11.1,scram_17.png,3.21771580345508e-16,7.85519628228823e-13
1,43,DEV,scram,85,0.31902,0,27.2542,3501,223.3979,226.9143,226.9644,227.8643,0.1,scram_9.png,5.39957906273014e-18,5.94121085534072e-15
1,44,DEV,scram,79,0.32552,0,25.7902,3417,227.981,231.4141,231.4642,232.3641,0.1,scram_25.png,2.82370621903972e-19,2.02408086077521e-16
1,45,DEV,scram,75,0.75161,75,56.6093,551,232.4808,233.0474,233.0974,233.9973,4.1,scram_12.png,0.0113982628755127,0.00934072916976397
1,46,DEV,scram,75,0.73093,75,54.7903,634,238.1138,238.7638,238.8138,239.7137,0.1,scram_20.png,0.00599592419661925,0.00474045360518978
1,47,DEV,scram,88,0.3346,0,29.4259,3301,239.8304,243.1469,243.1969,244.0968,0.1,scram_22.png,4.49655807161902e-22,5.473370128081e-19
1,48,DEV,scram,80,0.40704,80,32.4457,2501,244.2136,246.7301,246.7801,247.68,3.1,scram_6.png,6.76622207618687e-19,1.16421003270015e-15
1,49,DEV,scram,88,0.32164,88,28.4171,3467,250.7966,254.2797,254.3298,255.2297,6.1,scram_2.png,3.1199237011877e-18,9.61994999184787e-16
1,50,DEV,scram,84,0.40886,84,34.2051,2484,261.3461,263.8459,263.896,264.7959,12.1,scram_24.png,1.50470634167228e-15,6.53504639730574e-13
2,51,IEV,happy,62,0.66339,0,41.4146,2584,8.0659,10.6658,10.7158,11.6158,0.1,happy_8.png,0.00265957446808511,2.88590202388628e-66
2,52,IEV,happy,32,0.81105,32,26.0766,1618,11.7325,13.3657,13.4157,14.3156,0.1,happy_20.png,0.0136763090014457,7.7194778438308e-48
2,53,IEV,happy,45,0.7553,45,34.2076,2034,14.4323,16.4822,16.5322,17.4322,0.1,happy_23.png,0.00164022496709189,2.60473061234248e-56
2,54,IEV,happy,109,0.47025,109,51.2026,3551,17.5489,21.1153,21.1654,22.0653,2.1,happy_21.png,0.000303346564308598,1.47413239677387e-26
2,55,IEV,happy,117,0.42847,117,50.2207,3751,24.1819,27.9483,27.9984,28.8983,4.1,happy_13.png,0.00800375346596737,1.19983187923561e-24
2,56,IEV,happy,0,0,0,0,4000,33.0148,37.0312,37.0812,37.9812,1.1,happy_16.png,0.00201403393704052,1.27766590963047e-49
2,57,IEV,happy,107,0.47714,107,50.9236,3518,39.0979,42.631,42.681,43.5809,0.1,happy_1.png,0.0271831131432339,7.78823957153315e-46
2,58,IEV,happy,118,0.43202,0,50.9353,3734,44.1809,47.9307,47.9808,48.8807,6.1,happy_11.png,0.0132663704268866,1.09505777866037e-55
2,59,IEV,happy,37,0.80915,37,30.3127,1634,54.9971,56.647,56.697,57.5969,2.1,happy_17.png,3.7262285606941e-21,1.37683132116788e-45
2,60,IEV,happy,21,0.87471,21,18.5087,901,59.7136,60.6301,60.6801,61.5801,2.1,happy_18.png,1.02728247548477e-26,1.72916129034627e-14
2,61,IEV,happy,52,0.69024,52,36.2292,2434,63.6967,66.1465,66.1965,67.0965,4.1,happy_15.png,2.34771537145134e-13,2.10042933590343e-17
2,62,IEV,happy,115,0.43202,115,49.6392,3734,71.213,74.9628,75.0128,75.9127,0.1,happy_24.png,0.0191543153822921,8.67015163644944e-09
2,63,IEV,happy,119,0.4216,119,50.0854,3784,76.0627,79.8625,79.9126,80.8125,0.1,happy_22.png,0.0183698229130188,1.0118099138298e-05
2,64,IEV,happy,117,0.43202,117,50.5033,3734,80.9292,84.679,84.729,85.6289,1.1,happy_6.png,0.0219337961078783,0.00173457224125216
2,65,IEV,happy,122,0.43202,122,52.6634,3734,86.7456,90.4954,90.5454,91.4453,1.1,happy_4.png,0.0218627226959553,0.015356461376406
2,66,IEV,happy,105,0.47025,0,49.3215,3551,92.562,96.1284,96.1785,97.0784,0.1,happy_14.png,0.0121911153406468,7.52169533517306e-06
2,67,IEV,happy,65,0.61931,65,40.3225,2818,97.1951,100.0283,100.0783,100.9782,1.1,happy_7.png,1.07397433092383e-09,3.12149231445592e-10
2,68,IEV,happy,105,0.46691,0,49.0016,3567,102.0949,105.678,105.728,106.628,9.1,happy_5.png,0.0116686744030991,6.25796751029246e-10
2,69,IEV,happy,97,0.50506,97,49.2393,3384,115.7443,119.144,119.1941,120.094,4.1,happy_9.png,0.00288853091432643,1.31370009141424e-09
2,70,IEV,happy,101,0.4738,101,47.7428,3534,124.2105,127.7603,127.8103,128.7102,3.1,happy_2.png,0.0118043876773852,2.2301774320519e-08
2,71,IEV,happy,125,0.40434,125,50.3962,3867,131.8268,135.7099,135.7599,136.6599,8.1,happy_3.png,0.0240513706930823,5.5729268762207e-06
2,72,IEV,happy,105,0.48424,105,50.6315,3484,144.7762,148.276,148.326,149.2259,0.1,happy_25.png,0.00705196553291332,9.37097089615414e-06
2,73,IEV,happy,33,0.81877,0,26.9246,1551,149.3426,150.9092,150.9592,151.8592,0.1,happy_10.png,4.33366099185097e-34,2.30704578522594e-20
2,74,IEV,happy,109,0.44936,109,48.8736,3651,151.9759,155.6423,155.6924,156.5923,1.1,happy_12.png,0.0176268146074866,0.0153285566604996
2,75,IEV,happy,0,0,0,0,4000,157.7089,161.7254,161.7754,162.6753,1.1,happy_19.png,0.00890059975523541,0.00829751515332685
2,76,IEV,happy,114,0.42847,0,48.9352,3751,163.792,167.5589,167.6085,168.5084,8.1,happy_25.png,0.0150762538306977,0.000211310023556239
2,77,IEV,happy,40,0.75275,40,29.8946,2051,176.6247,178.6912,178.7413,179.6412,1.1,happy_17.png,7.9820970124738e-20,2.80436044246271e-13
2,78,IEV,happy,62,0.65418,62,40.6763,2634,180.7579,183.4077,183.4577,184.3577,0.1,happy_5.png,2.17323601863916e-09,1.14798149034176e-07
2,79,IEV,happy,0,0,0,0,4016,184.4743,188.5074,188.5579,189.4574,0.1,happy_18.png,0.00373430525147249,1.03191080053371e-06
2,80,IEV,happy,118,0.43202,0,50.9353,3734,189.5741,193.3239,193.3739,194.2738,1.1,happy_8.png,0.0104787049295034,2.08867389278883e-08
2,81,IEV,happy,28,0.85565,28,23.6606,1171,195.3905,196.5737,196.6238,197.5237,1.1,happy_22.png,1.05080083912148e-27,6.40633946322788e-14
2,82,IEV,happy,25,0.87053,25,21.7244,968,198.6403,199.6236,199.6736,200.5735,3.1,happy_21.png,1.6141255599559e-29,1.65694089824222e-15
2,83,IEV,happy,42,0.75275,42,31.4001,2051,203.6901,205.7566,205.8066,206.7066,0.1,happy_7.png,3.21310817695228e-16,9.56495157126722e-11
2,84,IEV,happy,35,0.81877,35,28.5621,1551,206.8233,208.3899,208.4398,209.3398,1.1,happy_9.png,3.67756182836917e-23,1.43553688681637e-15
2,85,IEV,happy,68,0.63218,68,43.2993,2751,210.4564,213.2229,213.273,214.1729,8.1,happy_6.png,2.22324615996726e-06,8.22824608672837e-05
2,86,IEV,happy,104,0.4738,0,49.1642,3534,222.2892,225.839,225.889,226.789,5.1,happy_20.png,0.0178049865631843,0.0143489106685176
2,87,IEV,happy,54,0.68142,54,36.8549,2484,231.9054,234.4053,234.4553,235.3552,7.1,happy_19.png,7.08427604990313e-09,1.90076263053001e-06
2,88,IEV,happy,127,0.40766,127,51.8882,3851,242.4716,246.338,246.3881,247.288,6.1,happy_14.png,0.0132248978457816,0.0126223156929414
2,89,IEV,happy,67,0.63218,67,42.6672,2751,253.4044,256.1709,256.2209,257.1209,2.1,happy_15.png,1.53407454860474e-06,3.71711215557416e-05
2,90,IEV,happy,59,0.66631,0,39.2323,2568,259.2375,261.8206,261.8707,262.7706,0.1,happy_2.png,2.56460114042299e-09,2.45377338068946e-07
2,91,IEV,happy,125,0.4216,125,52.615,3784,262.8873,266.6871,266.7371,267.637,6.1,happy_24.png,0.0191131452892193,0.0180318894518267
2,92,IEV,happy,55,0.67839,55,37.067,2501,273.7534,276.27,276.32,277.2199,0.1,happy_16.png,9.30985434416806e-11,1.44171773934177e-08
2,93,IEV,happy,45,0.76268,0,34.3726,1984,277.3366,279.3365,279.3865,280.2864,0.1,happy_10.png,6.37314775315981e-19,1.19047403150428e-14
2,94,IEV,happy,28,0.84887,28,23.6272,1251,280.4032,281.6697,281.7197,282.6197,3.1,happy_12.png,3.15812216780022e-27,1.90154109184321e-19
2,95,IEV,happy,86,0.52576,0,45.137,3284,285.7362,289.036,289.0861,289.986,0.1,happy_11.png,0.000654190954131,0.000966227957596483
2,96,IEV,happy,22,0.87368,22,19.5331,918,290.1027,291.0359,291.086,291.9859,2.1,happy_23.png,7.57136249514133e-29,2.19909474995287e-19
2,97,IEV,happy,79,0.57671,79,45.7628,3034,294.1025,297.1523,297.2024,298.1023,5.1,happy_4.png,1.3970450221719e-05,4.69699368776695e-05
2,98,IEV,happy,82,0.53955,82,44.3981,3217,303.2188,306.4519,306.5019,307.4018,0.1,happy_3.png,0.000461433281351115,0.000713423246106918
2,99,IEV,happy,0,0,0,0,4016,307.5185,311.5516,311.6017,312.5016,4.1,happy_1.png,0.0122494326246311,0.0147955623007858
2,100,IEV,happy,117,0.43202,117,50.5033,3734,316.6181,320.3679,320.4179,321.3178,12.1,happy_13.png,0.0185960244508591,0.0172920289129286
3,101,CEVR,scram,92,0.42005,92,38.6802,3217,8.0144,11.2475,11.2975,12.1975,0.1,scram_18.png,0.0445721975440058,7.53573697098161e-100
3,102,CEVR,scram,73,0.48575,73,35.5428,3634,12.3142,15.9639,16.014,16.9139,7.1,scram_5.png,0.00279233678727001,1.70883372921093e-131
