run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,p_chosen
1,1,DEV,scram,73,0.79888,73,58.1067,368,8.1156,8.4989,8.5494,9.4489,5.1,scram_2.png,0.0385433046394844
1,2,DEV,scram,68,0.81672,68,55.6086,301,14.582,14.8986,14.9487,15.8486,1.1,scram_7.png,0.0537833768821657
1,3,DEV,scram,70,0.67926,70,47.8651,851,16.9486,17.8152,17.8652,18.7651,2.1,scram_20.png,1.88336190050188e-05
1,4,DEV,scram,67,0.73488,67,49.1186,618,20.8817,21.515,21.5651,22.4649,5.1,scram_12.png,0.00369667710490148
1,5,DEV,scram,67,0.7146,67,48.1995,701,27.5814,28.298,28.3481,29.248,0.1,scram_19.png,0.00169484569860415
1,6,DEV,scram,76,0.70668,76,53.4832,734,29.3647,30.1146,30.1646,31.0646,0.1,scram_4.png,0.00246883964146688
1,7,DEV,scram,70,0.74333,70,51.7192,584,31.1646,31.7645,31.8146,32.7145,1.1,scram_15.png,0.01177661764697
1,8,DEV,scram,67,0.71872,0,48.3892,684,33.8145,34.5144,34.5645,35.4644,0.1,scram_24.png,0.00139857336510578
1,9,DEV,scram,76,0.54987,76,41.7293,1484,35.5644,37.0643,37.1144,38.0143,3.1,scram_5.png,3.63080916491859e-07
1,10,DEV,scram,80,0.54685,0,43.7296,1501,41.1142,42.6307,42.6808,43.5807,3.1,scram_9.png,1.31877600793052e-10
1,11,DEV,scram,69,0.8079,69,56.0778,334,46.6806,47.0305,47.0805,47.9805,0.1,scram_18.png,0.0449961538966414
1,12,DEV,scram,73,0.7391,73,53.739,601,48.0805,48.6971,48.7472,49.6471,1.1,scram_3.png,0.00416178723591649
1,13,DEV,scram,75,0.74333,75,55.4358,584,50.7471,51.347,51.397,52.297,1.1,scram_21.png,0.00641312098289148
1,14,DEV,scram,72,0.78158,72,56.5354,434,53.397,53.8469,53.897,54.7969,1.1,scram_17.png,0.0247209282097819
1,15,DEV,scram,68,0.75997,68,51.7158,518,55.8969,56.4301,56.4801,57.3801,4.1,scram_1.png,0.012535533138497
1,16,DEV,scram,70,0.80338,70,55.8951,351,61.4799,61.8465,61.8966,62.7965,10.1,scram_16.png,0.0361980157216031
1,17,DEV,scram,69,0.75161,0,52.0996,551,72.8961,73.4627,73.5127,74.4127,1.1,scram_14.png,0.00948418838094937
1,18,DEV,scram,67,0.78158,67,52.6275,434,75.5127,75.9626,76.0126,76.9125,2.1,scram_6.png,0.0247102541927216
1,19,DEV,scram,67,0.82129,67,54.9578,284,79.0625,79.3624,79.4125,80.3124,5.1,scram_22.png,0.0434518531878379
1,20,DEV,scram,72,0.78575,72,56.7253,418,85.4122,85.8455,85.8955,86.7954,0.1,scram_23.png,0.0263944230371476
1,21,DEV,scram,76,0.75161,0,57.3609,551,86.8955,87.4621,87.5121,88.412,0.1,scram_13.png,0.0101624839348202
1,22,DEV,scram,73,0.54685,0,39.9017,1501,88.5121,90.0286,90.0787,90.9786,0.1,scram_25.png,8.33158043256375e-09
1,23,DEV,scram,79,0.40008,79,31.573,2567,91.0786,93.6618,93.7118,94.6118,0.1,scram_11.png,1.76648320035878e-15
1,24,DEV,scram,70,0.73488,0,51.3232,618,94.7118,95.3451,95.3951,96.295,4.1,scram_10.png,0.00343605645902306
1,25,DEV,scram,66,0.81217,0,53.811,318,100.3949,100.7282,100.7782,101.6781,2.1,scram_8.png,0.0430952390240157
1,26,DEV,scram,68,0.79466,0,53.9447,384,103.7781,104.178,104.2281,105.128,8.1,scram_21.png,0.0335717513231349
1,27,DEV,scram,81,0.33595,81,27.1785,3284,113.2444,116.5441,116.5942,117.4941,4.1,scram_16.png,0.00650612024976441
1,28,DEV,scram,83,0.34131,0,28.2366,3217,121.6106,124.8438,124.8938,125.7937,0.1,scram_14.png,1.19546267177202e-12
1,29,DEV,scram,74,0.75161,74,55.8577,551,125.9105,126.477,126.5271,127.427,3.1,scram_19.png,0.00939284669382567
1,30,DEV,scram,70,0.77717,70,54.7777,451,130.5436,131.0102,131.0602,131.9602,2.1,scram_23.png,0.0210900979167261
1,31,DEV,scram,69,0.77277,0,53.0359,468,134.0767,134.56,134.61,135.51,0.1,scram_4.png,0.0180295868228899
1,32,DEV,scram,80,0.52953,0,42.5803,1601,135.6267,137.2432,137.2933,138.1932,1.1,scram_3.png,2.49600592493419e-08
1,33,DEV,scram,72,0.76866,72,55.164,484,139.3098,139.8098,139.8598,140.7597,1.1,scram_1.png,0.0159591114500926
1,34,DEV,scram,66,0.79888,66,52.5146,368,141.8764,142.2597,142.3097,143.2096,7.1,scram_13.png,0.0347888022370615
1,35,DEV,scram,73,0.78158,73,57.317,434,150.326,150.776,150.826,151.7259,0.1,scram_7.png,0.024355570469539
1,36,DEV,scram,67,0.76866,0,51.3207,484,151.8426,152.3426,152.3926,153.2925,0.1,scram_8.png,0.0164673430261855
1,37,DEV,scram,70,0.78158,70,54.9723,434,153.4092,153.8592,153.9092,154.8091,2.1,scram_18.png,0.0244038150062379
1,38,DEV,scram,69,0.75591,69,52.294,534,156.9257,157.4757,157.5257,158.4256,0.1,scram_10.png,0.011872011023652
1,39,DEV,scram,74,0.77277,74,56.8998,468,158.5257,159.0089,159.059,159.9589,0.1,scram_15.png,0.0184506357682656
1,40,DEV,scram,70,0.79019,70,55.3449,401,160.0756,160.4922,160.5423,161.4422,1.1,scram_5.png,0.0292100349111251
1,41,DEV,scram,72,0.75997,72,54.7556,518,162.5588,163.0921,163.1421,164.0421,8.1,scram_11.png,0.0135047780004764
1,42,DEV,scram,73,0.77277,73,56.127,468,172.1584,172.6417,172.6917,173.5916,11.1,scram_17.png,0.0188403669618524
1,43,DEV,scram,73,0.76866,73,55.9327,484,184.7078,185.2078,185.2578,186.1577,0.1,scram_9.png,0.0177631110838211
1,44,DEV,scram,66,0.79361,66,52.3153,388,186.2744,186.6744,186.7244,187.6243,0.1,scram_25.png,0.0298214548132317
1,45,DEV,scram,74,0.78158,74,58.0986,434,187.741,188.191,188.241,189.141,4.1,scram_12.png,0.0243486959038292
1,46,DEV,scram,73,0.78914,73,57.6675,405,193.2575,193.6741,193.7241,194.624,0.1,scram_20.png,0.0270056776405101
1,47,DEV,scram,75,0.78158,75,58.8801,434,194.7407,195.1907,195.2407,196.1407,0.1,scram_22.png,0.0242351478887168
1,48,DEV,scram,69,0.78575,69,54.368,418,196.2574,196.6906,196.7407,197.6406,3.1,scram_6.png,0.0254854745916368
1,49,DEV,scram,75,0.79019,75,59.2958,401,200.7571,201.1737,201.2238,202.1237,6.1,scram_2.png,0.0278420466918007
