run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,full_rtpred_explore,full_rtpred_exploit,limited_rtpred_explore,limited_rtpred_exploit
1,1,IEV,fear,28,0.85986,28,23.9957,1118,8.0653,9.1986,9.2492,10.1486,5.1,fear_11.png,88,88,20,20
1,2,IEV,fear,39,0.77215,39,29.735,1918,15.2651,17.1983,17.2484,18.1482,1.1,fear_8.png,376,89,198,93
1,3,IEV,fear,52,0.68443,52,35.2736,2467,19.2649,21.7481,21.7981,22.698,2.1,fear_17.png,376,141,205,93
1,4,IEV,fear,68,0.59009,0,40.3293,2967,24.798,27.7812,27.8312,28.7311,0.1,fear_13.png,376,207,205,151
1,5,IEV,fear,42,0.72939,42,30.3748,2201,28.8312,31.0477,31.0977,31.9977,1.1,fear_5.png,376,162,93,117
1,6,IEV,fear,61,0.66649,61,40.5533,2567,33.0977,35.6808,35.7308,36.6308,3.1,fear_23.png,376,174,93,118
1,7,IEV,fear,52,0.68726,0,35.755,2451,39.7307,42.1972,42.2472,43.1472,0.1,fear_18.png,25,195,93,131
1,8,IEV,fear,50,0.68443,0,33.9047,2467,43.2472,45.7304,45.7804,46.6803,0.1,fear_19.png,25,179,93,122
1,9,IEV,fear,41,0.75768,41,30.9854,2018,46.8137,48.8469,48.897,49.7969,2.1,fear_6.png,25,161,93,109
1,10,IEV,fear,51,0.72405,0,36.6055,2234,51.9135,54.1634,54.2134,55.1133,0.1,fear_16.png,25,158,93,101
1,11,IEV,fear,40,0.76746,40,30.9139,1951,55.23,57.1965,57.2466,58.1465,0.1,fear_1.png,25,155,93,98
1,12,IEV,fear,42,0.76268,42,32.0845,1984,58.2632,60.2631,60.3131,61.213,0.1,fear_10.png,25,141,93,93
1,13,IEV,fear,43,0.76746,43,33.2163,1951,61.3131,63.2796,63.3297,64.2296,4.1,fear_4.png,25,140,93,93
1,14,IEV,fear,41,0.77454,41,31.8471,1901,68.3295,70.246,70.296,71.1959,0.1,fear_2.png,25,139,93,93
1,15,IEV,fear,35,0.77911,35,27.556,1868,71.296,73.1792,73.2292,74.1291,4.1,fear_21.png,25,138,93,93
1,16,IEV,fear,41,0.76501,41,31.1239,1968,78.229,80.2122,80.2622,81.1622,0.1,fear_9.png,376,137,93,93
1,17,IEV,fear,40,0.75768,0,30.2278,2018,81.2622,83.2954,83.3455,84.2454,1.1,fear_12.png,376,137,93,93
1,18,IEV,fear,35,0.78144,35,27.3411,1851,85.3454,87.2119,87.2619,88.1619,11.1,fear_24.png,376,137,93,93
1,19,IEV,fear,30,0.81684,30,24.6694,1568,99.2614,100.8446,100.8947,101.7946,3.1,fear_25.png,376,136,93,93
1,20,IEV,fear,40,0.77911,40,31.4515,1868,104.8945,106.7777,106.8277,107.7278,0.1,fear_20.png,376,136,93,93
1,21,IEV,fear,45,0.76746,0,34.7512,1951,107.8277,109.7943,109.8443,110.7442,4.1,fear_7.png,376,136,93,93
1,22,IEV,fear,30,0.80309,30,24.4565,1684,114.8441,116.544,116.594,117.4939,1.1,fear_22.png,376,136,93,93
1,23,IEV,fear,23,0.85727,23,20.032,1151,118.5939,119.7605,119.8105,120.7104,1.1,fear_14.png,376,136,93,93
1,24,IEV,fear,71,0.58989,0,42.1113,2968,121.8104,124.7936,124.8436,125.7436,0.1,fear_15.png,376,138,93,93
1,25,IEV,fear,54,0.6694,0,36.3502,2551,125.8436,128.4101,128.4601,129.3601,0.1,fear_3.png,376,120,93,93
1,26,IEV,fear,35,0.78588,0,27.7112,1818,129.4601,131.2933,131.3433,132.2433,3.1,fear_9.png,376,116,93,93
