run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image
1,1,DEV,scram,77,0.67172,0,51.5053,884,8.1532,9.0532,9.1038,10.0031,5.1,scram_2.png
1,2,DEV,scram,78,0.45235,0,35.4816,2118,15.1529,17.286,17.3361,18.236,1.1,scram_7.png
1,3,DEV,scram,71,0.64938,0,46.294,984,19.336,20.3359,20.3859,21.2858,2.1,scram_20.png
1,4,DEV,scram,77,0.35499,0,27.4401,3051,23.4025,26.4689,26.5189,27.4188,5.1,scram_12.png
1,5,DEV,scram,74,0.46588,74,34.5093,2017,32.5186,34.5517,34.6018,35.5017,0.1,scram_19.png
1,6,DEV,scram,82,0.46125,82,37.9134,2051,35.6017,37.6682,37.7182,38.6182,0.1,scram_4.png
1,7,DEV,scram,79,0.41071,0,32.2839,2467,38.7182,41.2014,41.2514,42.1513,1.1,scram_15.png
1,8,DEV,scram,73,0.51029,0,37.2035,1718,43.2513,44.9845,45.0345,45.9349,0.1,scram_24.png
1,9,DEV,scram,77,0.49226,77,38.0891,1834,46.0511,47.901,47.951,48.8509,3.1,scram_5.png
1,10,DEV,scram,81,0.49226,0,40.0581,1834,51.9508,53.8006,53.8507,54.7506,3.1,scram_9.png
1,11,DEV,scram,82,0.36953,82,30.2435,2884,57.8504,60.7502,60.8003,61.7002,0.1,scram_18.png
1,12,DEV,scram,83,0.36219,0,30.088,2967,61.8002,64.7833,64.8334,65.7333,1.1,scram_3.png
1,13,DEV,scram,83,0.41622,0,34.7324,2417,66.8333,69.2664,69.3164,70.2164,1.1,scram_21.png
1,14,DEV,scram,78,0.57758,78,45.1536,1334,71.3163,72.6662,72.7163,73.6162,1.1,scram_17.png
1,15,DEV,scram,72,0.61739,0,44.5398,1134,74.7162,75.866,75.916,76.816,4.1,scram_1.png
1,16,DEV,scram,76,0.5937,76,44.9792,1251,80.9158,82.1823,82.2324,83.1323,10.1,scram_16.png
1,17,DEV,scram,74,0.58392,0,43.2182,1301,93.2318,94.5483,94.5983,95.4982,1.1,scram_14.png
1,18,DEV,scram,77,0.43964,0,33.7584,2218,96.5982,98.8314,98.8814,99.7813,2.1,scram_6.png
1,19,DEV,scram,73,0.60713,0,44.57,1184,101.8812,103.0811,103.1312,104.0311,5.1,scram_22.png
1,20,DEV,scram,81,0.48481,0,39.0615,1884,109.1308,111.0307,111.0807,111.9806,0.1,scram_23.png
1,21,DEV,scram,79,0.66403,0,52.3853,918,112.6639,113.5972,113.6472,114.5471,0.1,scram_13.png
1,22,DEV,scram,79,0.34536,0,27.1462,3167,114.6472,117.8303,117.8803,118.7802,0.1,scram_25.png
1,23,DEV,scram,77,0.46356,77,35.7565,2034,118.8803,120.9301,120.9802,121.88,0.1,scram_11.png
1,24,DEV,scram,77,0.46356,0,35.7565,2034,121.9801,124.03,124.08,124.9799,4.1,scram_10.png
1,25,DEV,scram,79,0.37712,0,29.6447,2801,129.0797,131.8961,131.9462,132.8461,2.1,scram_8.png
1,26,DEV,scram,74,0.59707,0,43.9883,1234,134.946,136.1959,136.2459,137.1458,8.1,scram_21.png
1,27,DEV,scram,74,0.58392,74,43.2182,1301,145.2454,146.562,146.612,147.5119,4.1,scram_16.png
1,28,DEV,scram,76,0.58392,0,44.386,1301,151.6117,152.9283,152.9783,153.8782,0.1,scram_14.png
1,29,DEV,scram,85,0.37871,85,32.0233,2784,153.9783,156.778,156.8281,157.728,3.1,scram_19.png
1,30,DEV,scram,82,0.37712,0,30.7761,2801,160.8279,163.6443,163.6944,164.5943,2.1,scram_23.png
1,31,DEV,scram,77,0.48232,0,36.9631,1901,166.6942,168.6107,168.6608,169.5606,0.1,scram_4.png
1,32,DEV,scram,77,0.64197,0,49.7458,1018,169.6608,170.6939,170.7439,171.6439,1.1,scram_3.png
1,33,DEV,scram,74,0.69483,74,51.4351,784,172.7438,173.5437,173.5938,174.4937,1.1,scram_1.png
1,34,DEV,scram,72,0.56814,72,41.1448,1384,175.5937,176.9936,177.0436,177.9435,7.1,scram_13.png
1,35,DEV,scram,79,0.59707,79,46.9736,1234,185.0431,186.2931,186.3431,187.243,0.1,scram_7.png
1,36,DEV,scram,72,0.58392,0,42.0504,1301,187.3597,188.6762,188.7263,189.6262,0.1,scram_8.png
1,37,DEV,scram,74,0.66403,74,49.0652,918,189.7429,190.6761,190.7261,191.626,2.1,scram_18.png
1,38,DEV,scram,75,0.55274,75,41.3536,1468,193.726,195.2092,195.2592,196.1591,0.1,scram_10.png
1,39,DEV,scram,81,0.51302,81,41.4704,1701,196.2592,197.9757,198.0257,198.9256,0.1,scram_15.png
1,40,DEV,scram,77,0.52953,77,40.9917,1601,199.0423,200.6589,200.7089,201.6088,1.1,scram_5.png
1,41,DEV,scram,76,0.60713,76,46.3914,1184,202.7088,203.9087,203.9587,204.8586,8.1,scram_11.png
1,42,DEV,scram,79,0.53809,79,42.612,1551,212.9582,214.5247,214.5748,215.4747,11.1,scram_17.png
1,43,DEV,scram,79,0.53516,0,42.4201,1568,226.5908,228.1739,228.224,229.1239,0.1,scram_9.png
1,44,DEV,scram,73,0.53809,73,39.3835,1551,229.2406,230.8071,230.8572,231.7571,0.1,scram_25.png
1,45,DEV,scram,80,0.57132,80,45.8993,1367,231.8577,233.2403,233.2904,234.1903,4.1,scram_12.png
1,46,DEV,scram,79,0.58392,79,46.1378,1301,238.3068,239.6233,239.6733,240.5732,0.1,scram_20.png
1,47,DEV,scram,82,0.54685,82,44.8233,1501,240.6899,242.2065,242.2565,243.1565,0.1,scram_22.png
1,48,DEV,scram,74,0.61039,74,45.3677,1168,243.2564,244.4397,244.4897,245.3896,3.1,scram_6.png
1,49,DEV,scram,81,0.57758,81,46.8863,1334,248.5062,249.856,249.9061,250.806,6.1,scram_2.png
1,50,DEV,scram,80,0.56497,80,44.9164,1401,256.9224,258.3389,258.3889,259.2888,12.1,scram_24.png
2,51,IEV,happy,34,0.83138,34,28.0969,1434,8.0122,9.4622,9.5122,10.4121,0.1,happy_8.png
2,52,IEV,happy,36,0.78602,36,28.4848,1817,10.5288,12.362,12.412,13.3119,0.1,happy_20.png
2,53,IEV,happy,31,0.83966,31,26.3709,1351,13.4286,14.7952,14.8452,15.7451,0.1,happy_23.png
2,54,IEV,happy,32,0.84128,32,27.0318,1334,15.8618,17.2117,17.2617,18.1617,2.1,happy_21.png
2,55,IEV,happy,24,0.8559,24,20.207,1168,20.2782,21.4615,21.5115,22.4114,4.1,happy_13.png
2,56,IEV,happy,56,0.65732,56,36.5327,2617,26.5279,29.161,29.2111,30.111,1.1,happy_16.png
2,57,IEV,happy,50,0.71847,0,35.5757,2268,31.2276,33.5108,33.5608,34.4607,0.1,happy_1.png
2,58,IEV,happy,24,0.84128,24,20.3015,1334,34.5774,35.9273,35.9773,36.8773,6.1,happy_11.png
2,59,IEV,happy,72,0.59998,0,43.3095,2917,42.9937,45.9267,45.9768,46.8767,2.1,happy_17.png
2,60,IEV,happy,25,0.85727,25,21.7465,1151,48.9933,50.1598,50.2099,51.1098,2.1,happy_18.png
2,61,IEV,happy,20,0.86244,20,17.6314,1084,53.2264,54.3263,54.3763,55.2762,4.1,happy_15.png
2,62,IEV,happy,23,0.84878,23,19.3937,1252,59.3927,60.6592,60.7092,61.6092,0.1,happy_24.png
2,63,IEV,happy,21,0.86606,21,18.001,1034,61.7259,62.7758,62.8258,63.7257,0.1,happy_22.png
2,64,IEV,happy,37,0.75768,37,27.9547,2018,63.8424,65.8756,65.9257,66.8255,1.1,happy_6.png
2,65,IEV,happy,27,0.86947,0,23.6083,984,67.9422,68.942,68.9921,69.892,1.1,happy_4.png
2,66,IEV,happy,27,0.84592,27,23.1282,1284,71.0087,72.3085,72.3586,73.2585,0.1,happy_14.png
2,67,IEV,happy,40,0.79466,40,31.6503,1751,73.3752,75.1417,75.1918,76.0917,1.1,happy_7.png
2,68,IEV,happy,36,0.76746,36,27.8441,1951,77.2083,79.1748,79.2249,80.1248,9.1,happy_5.png
2,69,IEV,happy,23,0.86606,23,19.7331,1034,89.241,90.2908,90.3409,91.2408,4.1,happy_9.png
2,70,IEV,happy,30,0.82429,30,24.7062,1501,95.3573,96.8738,96.9239,97.8238,3.1,happy_2.png
2,71,IEV,happy,19,0.87053,19,16.5012,968,100.9403,101.9235,101.9735,102.8735,8.1,happy_3.png
2,72,IEV,happy,34,0.83643,0,28.3967,1384,110.9897,112.3896,112.4396,113.3395,0.1,happy_25.png
2,73,IEV,happy,23,0.84736,23,19.5685,1268,113.4562,114.7394,114.7895,115.6894,0.1,happy_10.png
2,74,IEV,happy,32,0.80915,32,26.2669,1634,115.8061,117.456,117.506,118.4059,1.1,happy_12.png
2,75,IEV,happy,40,0.73734,0,29.7114,2151,119.5226,121.6891,121.7391,122.6395,1.1,happy_19.png
2,76,IEV,happy,24,0.84736,24,20.4159,1268,123.7557,125.0389,125.0889,125.9888,8.1,happy_25.png
2,77,IEV,happy,28,0.85182,28,24.1262,1217,134.1051,135.3383,135.3883,136.2882,1.1,happy_17.png
2,78,IEV,happy,33,0.81501,33,26.4894,1584,137.4049,139.0047,139.0548,139.9546,0.1,happy_5.png
2,79,IEV,happy,39,0.76019,39,30.012,2001,140.0714,142.0879,142.1379,143.0379,0.1,happy_18.png
2,80,IEV,happy,21,0.86244,21,18.4938,1084,143.1545,144.2544,144.3044,145.2043,1.1,happy_8.png
2,81,IEV,happy,38,0.76501,38,28.8289,1968,146.321,148.3042,148.3542,149.2541,1.1,happy_22.png
2,82,IEV,happy,60,0.66027,60,39.6281,2601,150.3708,152.9873,153.0373,153.9372,3.1,happy_21.png
2,83,IEV,happy,22,0.8559,22,18.4952,1168,157.0537,158.237,158.287,159.1869,0.1,happy_7.png
2,84,IEV,happy,42,0.77454,0,32.6217,1901,159.3037,161.2201,161.2702,162.1701,1.1,happy_9.png
2,85,IEV,happy,72,0.59009,72,42.6897,2967,163.2867,166.2698,166.3198,167.2198,8.1,happy_6.png
2,86,IEV,happy,26,0.83966,26,22.1726,1351,175.336,176.7026,176.7526,177.6525,5.1,happy_20.png
2,87,IEV,happy,25,0.85727,25,21.7465,1151,182.7689,183.9355,183.9855,184.8854,7.1,happy_19.png
2,88,IEV,happy,25,0.87571,25,21.8625,884,192.0017,192.9016,192.9517,193.8516,6.1,happy_14.png
2,89,IEV,happy,46,0.72681,46,33.4945,2217,199.968,202.2011,202.2512,203.1511,2.1,happy_15.png
2,90,IEV,happy,28,0.84128,28,23.6667,1334,205.2676,206.6175,206.6675,207.5674,0.1,happy_2.png
2,91,IEV,happy,31,0.84736,31,26.3474,1268,207.6842,208.9674,209.0174,209.9173,6.1,happy_24.png
2,92,IEV,happy,21,0.8836,21,18.8939,734,216.0503,216.8003,216.8503,217.7502,0.1,happy_16.png
2,93,IEV,happy,32,0.82613,32,26.1626,1484,217.867,219.3668,219.4168,220.3167,0.1,happy_10.png
2,94,IEV,happy,24,0.85459,24,20.3729,1184,220.4334,221.6333,221.6834,222.5833,3.1,happy_12.png
2,95,IEV,happy,20,0.86833,20,17.6833,1001,225.6998,226.7164,226.7664,227.6664,0.1,happy_11.png
2,96,IEV,happy,36,0.77454,0,27.9744,1901,227.783,229.6995,229.7496,230.6495,2.1,happy_23.png
2,97,IEV,happy,40,0.75018,40,30.1137,2068,232.7661,234.8493,234.8992,235.7992,5.1,happy_4.png
2,98,IEV,happy,47,0.72127,47,33.9241,2251,240.9156,243.1821,243.2321,244.132,0.1,happy_3.png
2,99,IEV,happy,39,0.79683,39,31.4544,1734,244.3487,246.0986,246.1486,247.0485,4.1,happy_1.png
2,100,IEV,happy,16,0.88981,16,14.2774,584,251.165,251.7649,251.815,252.7149,12.1,happy_13.png
3,101,CEVR,scram,172,0.22141,0,38.107,451,8.052,8.5187,8.5687,9.4686,0.1,scram_18.png
3,102,CEVR,scram,122,0.29325,0,35.827,1884,9.5853,11.4851,11.5352,12.4351,7.1,scram_5.png
