run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image
1,1,DEV,scram,70,0.69085,0,48.4555,801,8.0549,8.8716,8.9221,9.8216,5.1,scram_2.png
1,2,DEV,scram,79,0.43559,0,34.3674,2251,14.9214,17.1879,17.238,18.1379,1.1,scram_7.png
1,3,DEV,scram,74,0.73069,74,54.0467,635,19.2379,19.8878,19.9378,20.8377,2.1,scram_20.png
1,4,DEV,scram,68,0.79439,68,53.9341,385,22.9377,23.3376,23.3877,24.2876,5.1,scram_12.png
1,5,DEV,scram,77,0.61039,0,47.1989,1168,29.3874,30.5706,30.6207,31.5206,0.1,scram_19.png
1,6,DEV,scram,68,0.7391,68,50.0435,601,31.6207,32.2373,32.2873,33.1872,0.1,scram_4.png
1,7,DEV,scram,76,0.75566,76,57.5722,535,33.2872,33.8372,33.8872,34.7871,1.1,scram_15.png
1,8,DEV,scram,73,0.72261,73,52.9027,668,35.8872,36.5704,36.6204,37.5203,0.1,scram_24.png
1,9,DEV,scram,74,0.75161,74,55.8577,551,37.6204,38.187,38.237,39.1369,3.1,scram_5.png
1,10,DEV,scram,69,0.8079,69,56.0778,334,42.237,42.5868,42.6368,43.5368,3.1,scram_9.png
1,11,DEV,scram,78,0.64567,0,50.6135,1001,46.6367,47.6533,47.7033,48.6032,0.1,scram_18.png
1,12,DEV,scram,81,0.40704,0,32.8527,2501,48.7032,51.2197,51.2698,52.1697,1.1,scram_3.png
1,13,DEV,scram,66,0.80338,66,52.6816,351,53.2697,53.6363,53.6864,54.5863,1.1,scram_21.png
1,14,DEV,scram,72,0.83021,72,59.4226,251,55.6863,55.9529,56.0029,56.9028,1.1,scram_17.png
1,15,DEV,scram,75,0.73093,75,54.7903,634,58.0029,58.6528,58.7028,59.6027,4.1,scram_1.png
1,16,DEV,scram,74,0.79019,74,58.5056,401,63.7026,64.1192,64.1693,65.0691,10.1,scram_16.png
1,17,DEV,scram,71,0.66045,71,46.884,934,75.1687,76.1187,76.1688,77.0686,1.1,scram_14.png
1,18,DEV,scram,71,0.78575,71,55.9395,418,78.1686,78.6019,78.652,79.5518,2.1,scram_6.png
1,19,DEV,scram,68,0.81672,68,55.6086,301,81.6518,81.9684,82.0185,82.9184,5.1,scram_22.png
1,20,DEV,scram,83,0.37555,0,31.0413,2818,88.0515,90.8847,90.9347,91.8347,0.1,scram_23.png
1,21,DEV,scram,75,0.77277,75,57.6725,468,91.9347,92.418,92.468,93.3679,0.1,scram_13.png
1,22,DEV,scram,75,0.73488,75,54.9976,618,93.468,94.1012,94.1513,95.0512,0.1,scram_25.png
1,23,DEV,scram,74,0.63487,0,46.7766,1051,95.1512,96.2178,96.2679,97.1677,0.1,scram_11.png
1,24,DEV,scram,67,0.76866,67,51.3207,484,97.2678,97.7678,97.8178,98.7176,4.1,scram_10.png
1,25,DEV,scram,71,0.76431,71,54.1962,501,102.8176,103.3341,103.3842,104.2841,2.1,scram_8.png
1,26,DEV,scram,78,0.64197,0,50.3878,1018,106.3841,107.4173,107.4674,108.3673,8.1,scram_21.png
1,27,DEV,scram,71,0.78575,71,55.9395,418,116.467,116.9002,116.9503,117.8502,4.1,scram_16.png
1,28,DEV,scram,64,0.81672,64,52.3417,301,121.9501,122.2667,122.3167,123.2166,0.1,scram_14.png
1,29,DEV,scram,69,0.72676,69,50.2089,651,123.3167,123.9832,124.0333,124.9332,3.1,scram_19.png
1,30,DEV,scram,71,0.68689,0,48.9418,818,128.0664,128.8997,128.9497,129.8497,2.1,scram_23.png
1,31,DEV,scram,67,0.80338,67,53.485,351,131.9497,132.3162,132.3663,133.2662,0.1,scram_4.png
1,32,DEV,scram,69,0.75161,69,52.0996,551,133.3668,133.9328,133.9829,134.8827,1.1,scram_3.png
1,33,DEV,scram,76,0.66786,76,50.6133,901,135.9828,136.8993,136.9494,137.8493,1.1,scram_1.png
1,34,DEV,scram,75,0.62071,0,46.5875,1118,138.9493,140.0825,140.1326,141.0325,7.1,scram_13.png
1,35,DEV,scram,70,0.68295,70,48.0542,835,148.1322,148.9822,149.0322,149.9322,0.1,scram_7.png
1,36,DEV,scram,68,0.76431,0,51.9033,501,150.0655,150.5821,150.6322,151.532,0.1,scram_8.png
1,37,DEV,scram,76,0.57758,0,43.9984,1334,151.6322,152.982,153.032,153.932,2.1,scram_18.png
1,38,DEV,scram,66,0.79888,0,52.5146,368,156.0652,156.4485,156.4985,157.3984,0.1,scram_10.png
1,39,DEV,scram,70,0.67536,70,46.9888,868,157.5152,158.3984,158.4485,159.3484,0.1,scram_15.png
1,40,DEV,scram,71,0.56814,0,40.5766,1384,159.4484,160.8483,160.8984,161.7983,1.1,scram_5.png
1,41,DEV,scram,76,0.69483,0,52.8248,784,162.8985,163.6982,163.7483,164.6481,8.1,scram_11.png
1,42,DEV,scram,66,0.78575,0,52.0108,418,172.7645,173.1978,173.2478,174.1477,11.1,scram_17.png
1,43,DEV,scram,76,0.50239,76,38.2378,1768,185.264,187.0471,187.0972,187.9971,0.1,scram_9.png
1,44,DEV,scram,75,0.60027,0,44.7741,1218,188.0971,189.3304,189.3804,190.2804,0.1,scram_25.png
1,45,DEV,scram,77,0.41622,0,32.235,2417,190.3807,192.8136,192.8636,193.7636,4.1,scram_12.png
1,46,DEV,scram,74,0.4999,74,37.0811,1784,197.864,199.6633,199.7133,200.6133,0.1,scram_20.png
1,47,DEV,scram,79,0.61739,79,48.8615,1134,200.7134,201.8632,201.9133,202.8132,0.1,scram_22.png
1,48,DEV,scram,74,0.66403,74,49.0652,918,202.9132,203.8464,203.8965,204.7964,3.1,scram_6.png
1,49,DEV,scram,75,0.76431,75,57.2534,501,207.913,208.4295,208.4796,209.3795,6.1,scram_2.png
1,50,DEV,scram,69,0.79888,69,54.9112,368,215.496,215.8792,215.9293,216.8292,12.1,scram_24.png
2,51,IEV,happy,19,0.88724,19,16.513,651,8.0133,8.68,8.73,9.6299,0.1,happy_8.png
2,52,IEV,happy,20,0.86833,20,17.6833,1001,9.7467,10.7632,10.8133,11.7132,0.1,happy_20.png
2,53,IEV,happy,16,0.89152,16,13.9583,534,11.8299,12.3798,12.4299,13.3298,0.1,happy_23.png
2,54,IEV,happy,20,0.88197,20,17.3928,768,13.4465,14.2298,14.2798,15.1797,2.1,happy_21.png
2,55,IEV,happy,28,0.86485,28,24.221,1051,17.2963,18.3629,18.413,19.3129,4.1,happy_13.png
2,56,IEV,happy,18,0.89442,0,16.0732,434,23.4294,23.8793,23.9294,24.8293,1.1,happy_16.png
2,57,IEV,happy,20,0.87571,20,17.484,884,25.9459,26.8459,26.8959,27.7958,0.1,happy_1.png
2,58,IEV,happy,18,0.89203,0,15.6451,518,27.9125,28.4458,28.4958,29.3957,6.1,happy_11.png
2,59,IEV,happy,26,0.86833,26,22.8933,1001,35.5122,36.5288,36.5788,37.4788,2.1,happy_17.png
2,60,IEV,happy,37,0.77215,37,28.1907,1918,39.5954,41.5285,41.5786,42.4786,2.1,happy_18.png
2,61,IEV,happy,15,0.89096,15,13.1734,551,44.5951,45.1618,45.2118,46.1117,4.1,happy_15.png
2,62,IEV,happy,32,0.84119,32,27.0423,1335,50.2282,51.5781,51.6282,52.5281,0.1,happy_24.png
2,63,IEV,happy,23,0.87664,0,19.9744,868,52.6448,53.528,53.5781,54.4781,0.1,happy_22.png
2,64,IEV,happy,51,0.68726,51,35.0677,2451,54.5947,57.0612,57.1113,58.0111,1.1,happy_6.png
2,65,IEV,happy,37,0.80309,37,30.0781,1684,59.1278,60.8277,60.8778,61.7777,1.1,happy_4.png
2,66,IEV,happy,55,0.65418,55,36.097,2634,62.8943,65.5442,65.5942,66.4942,0.1,happy_14.png
2,67,IEV,happy,49,0.72127,49,35.3666,2251,66.6109,68.8774,68.9274,69.8273,1.1,happy_7.png
2,68,IEV,happy,67,0.62259,0,41.9841,2801,70.944,73.7605,73.8105,74.7104,9.1,happy_5.png
2,69,IEV,happy,30,0.82783,30,25.1548,1468,83.8267,85.31,85.36,86.2599,4.1,happy_9.png
2,70,IEV,happy,21,0.89038,21,18.6248,568,90.3765,90.9597,91.0098,91.9097,3.1,happy_2.png
2,71,IEV,happy,19,0.89697,19,17.3449,318,95.0596,95.3928,95.4429,96.3428,8.1,happy_3.png
2,72,IEV,happy,32,0.81489,32,25.6862,1585,104.4592,106.0591,106.1092,107.0091,0.1,happy_25.png
2,73,IEV,happy,51,0.72127,51,36.8091,2251,107.1257,109.3923,109.4423,110.3422,0.1,happy_10.png
2,74,IEV,happy,70,0.62259,70,43.8519,2801,110.4589,113.2754,113.3255,114.2254,1.1,happy_12.png
2,75,IEV,happy,74,0.58671,0,43.472,2984,115.342,118.3419,118.3919,119.2918,1.1,happy_19.png
2,76,IEV,happy,17,0.89255,17,15.5453,501,120.4085,120.9251,120.9752,121.8751,8.1,happy_25.png
2,77,IEV,happy,29,0.83801,29,24.0382,1368,129.9914,131.3746,131.4247,132.3246,1.1,happy_17.png
2,78,IEV,happy,30,0.84887,30,25.3249,1251,133.4413,134.7078,134.7579,135.6578,0.1,happy_5.png
2,79,IEV,happy,42,0.76268,0,32.0845,1984,135.7745,137.7744,137.8244,138.7243,0.1,happy_18.png
2,80,IEV,happy,29,0.8559,29,24.4865,1168,138.841,140.0243,140.0743,140.9742,1.1,happy_8.png
2,81,IEV,happy,17,0.89598,17,14.8621,368,142.0909,142.4747,142.5242,143.4241,1.1,happy_22.png
2,82,IEV,happy,34,0.83128,0,28.1077,1435,144.5408,145.9907,146.0407,146.9406,3.1,happy_21.png
2,83,IEV,happy,20,0.89203,20,17.4291,518,150.0571,150.5905,150.6405,151.5404,0.1,happy_7.png
2,84,IEV,happy,29,0.81877,29,23.6495,1551,151.6571,153.2237,153.2737,154.1737,1.1,happy_9.png
2,85,IEV,happy,25,0.85727,25,21.7465,1151,155.2903,156.4569,156.5069,157.4069,8.1,happy_6.png
2,86,IEV,happy,40,0.78588,40,31.6406,1818,165.5232,167.3565,167.4064,168.3064,5.1,happy_20.png
2,87,IEV,happy,29,0.82067,29,23.4474,1534,173.4234,174.9727,175.0228,175.9227,7.1,happy_19.png
2,88,IEV,happy,40,0.75275,40,29.8946,2051,183.0557,185.1223,185.1723,186.0722,6.1,happy_14.png
2,89,IEV,happy,49,0.70456,49,34.4814,2351,192.1887,194.5552,194.6053,195.5052,2.1,happy_15.png
2,90,IEV,happy,62,0.63844,0,39.7392,2718,197.6218,200.355,200.405,201.3049,0.1,happy_2.png
2,91,IEV,happy,41,0.78814,41,32.229,1801,201.4217,203.2382,203.2882,204.1881,6.1,happy_24.png
2,92,IEV,happy,39,0.76746,0,30.1464,1951,210.3046,212.2711,212.3212,213.2211,0.1,happy_16.png
2,93,IEV,happy,24,0.85459,24,20.3729,1184,213.3378,214.5377,214.5878,215.4876,0.1,happy_10.png
2,94,IEV,happy,50,0.71299,50,35.9814,2301,215.6043,217.9209,217.9709,218.8708,3.1,happy_12.png
2,95,IEV,happy,54,0.69303,54,37.4146,2418,221.9874,224.4206,224.4706,225.3705,0.1,happy_11.png
2,96,IEV,happy,55,0.66631,0,36.5671,2568,225.4873,228.0704,228.1205,229.0204,2.1,happy_23.png
2,97,IEV,happy,38,0.76989,38,29.1644,1934,231.137,233.0869,233.1369,234.0368,5.1,happy_4.png
2,98,IEV,happy,28,0.83474,28,23.5682,1401,239.1533,240.5699,240.62,241.5198,0.1,happy_3.png
2,99,IEV,happy,45,0.71847,45,31.9834,2268,241.6366,243.9197,243.9698,244.8697,4.1,happy_1.png
2,100,IEV,happy,52,0.71582,52,37.2041,2284,248.9862,251.2861,251.3361,252.236,12.1,happy_13.png
3,101,CEVR,scram,154,0.24671,154,37.9869,1051,8.0137,9.0803,9.1303,10.0303,0.1,scram_18.png
3,102,CEVR,scram,155,0.2384,0,37,868,10.147,11.0302,11.0802,11.9802,7.1,scram_5.png
3,103,CEVR,scram,137,0.26434,0,36.207,1401,19.0965,20.5131,20.5632,21.4631,4.1,scram_1.png
3,104,CEVR,scram,174,0.21953,0,38.0976,401,25.5796,25.9962,26.0462,26.9461,0.1,scram_2.png
3,105,CEVR,scram,146,0.25397,0,37,1201,27.0629,28.2794,28.3295,29.2294,0.1,scram_11.png
3,106,CEVR,scram,116,0.31983,116,37,2251,29.3461,31.6126,31.6627,32.5626,2.1,scram_4.png
3,107,CEVR,scram,130,0.28997,0,37.5799,1834,34.6792,36.5291,36.5791,37.4791,0.1,scram_9.png
3,108,CEVR,scram,106,0.34543,0,36.6546,2551,37.5958,40.1622,40.2123,41.1122,2.1,scram_25.png
3,109,CEVR,scram,139,0.25735,0,35.7132,1268,43.2289,44.5121,44.5621,45.462,0.1,scram_22.png
3,110,CEVR,scram,161,0.2355,0,37.942,801,45.5787,46.3953,46.4453,47.3453,0.1,scram_19.png
3,111,CEVR,scram,113,0.31593,0,35.7363,2201,47.462,49.6785,49.7286,50.6285,0.1,scram_23.png
3,112,CEVR,scram,91,0.39858,91,36.2028,3051,50.7452,53.8117,53.8617,54.7616,1.1,scram_20.png
3,113,CEVR,scram,94,0.3791,0,35.4836,2884,55.8783,58.7781,58.8282,59.7281,4.1,scram_12.png
3,114,CEVR,scram,114,0.31341,0,35.7464,2168,63.8446,66.0278,66.0778,66.9778,1.1,scram_10.png
3,115,CEVR,scram,150,0.24671,0,37,1051,68.0944,69.161,69.2111,70.1109,11.1,scram_13.png
3,116,CEVR,scram,157,0.23911,0,37.4782,884,81.2272,82.1271,82.1771,83.077,0.1,scram_7.png
3,117,CEVR,scram,106,0.36315,0,38.4526,2734,83.1938,85.9436,85.9936,86.8935,4.1,scram_8.png
3,118,CEVR,scram,140,0.268,0,37.536,1468,91.0101,92.4933,92.5434,93.4433,3.1,scram_14.png
3,119,CEVR,scram,158,0.22719,158,35.864,600,96.5605,97.1764,97.2265,98.1264,3.1,scram_3.png
3,120,CEVR,scram,169,0.21893,0,37,385,101.243,101.6429,101.693,102.5929,5.1,scram_21.png
3,121,CEVR,scram,166,0.22856,0,37.9142,634,107.7094,108.3593,108.4094,109.3092,10.1,scram_17.png
3,122,CEVR,scram,131,0.28362,0,37.2836,1734,119.4255,121.1754,121.2254,122.1254,1.1,scram_24.png
3,123,CEVR,scram,102,0.37363,0,38.1209,2834,123.242,126.0918,126.1419,127.0418,0.1,scram_16.png
3,124,CEVR,scram,167,0.21768,0,36.3469,351,127.1585,127.5251,127.5752,128.4751,1.1,scram_15.png
3,125,CEVR,scram,145,0.26167,145,38.0467,1351,129.5918,130.9583,131.0083,131.9083,0.1,scram_6.png
3,126,CEVR,scram,131,0.28263,131,37,1718,132.0583,133.7916,133.8416,134.7415,2.1,scram_12.png
3,127,CEVR,scram,158,0.2421,158,38.2105,951,136.8581,137.8247,137.8747,138.7746,1.1,scram_25.png
3,128,CEVR,scram,167,0.22205,0,37,468,139.8913,140.3746,140.4246,141.3245,0.1,scram_20.png
3,129,CEVR,scram,141,0.25568,0,35.9773,1235,141.4412,142.6911,142.7412,143.6411,1.1,scram_19.png
3,130,CEVR,scram,112,0.31725,0,35.4138,2218,144.7578,146.9909,147.041,147.9409,1.1,scram_14.png
3,131,CEVR,scram,168,0.22076,168,37,434,149.0576,149.5075,149.5575,150.4574,2.1,scram_1.png
3,132,CEVR,scram,171,0.22016,171,37.6605,418,152.5741,153.0073,153.0574,153.9573,9.1,scram_18.png
3,133,CEVR,scram,165,0.22723,0,37.4545,601,163.0736,163.6902,163.7402,164.6402,3.1,scram_15.png
3,134,CEVR,scram,122,0.30841,122,37.6168,2101,167.7568,169.8733,169.9233,170.8232,1.1,scram_11.png
3,135,CEVR,scram,134,0.28575,0,38.4287,1768,171.9399,173.7231,173.7732,174.673,6.1,scram_7.png
3,136,CEVR,scram,170,0.22141,0,37.6642,451,180.7895,181.2561,181.3061,182.2061,0.1,scram_17.png
3,137,CEVR,scram,150,0.24517,0,36.7548,1018,182.3228,183.356,183.4061,184.306,3.1,scram_2.png
3,138,CEVR,scram,102,0.35009,0,35.5996,2601,187.4225,190.0392,190.0891,190.989,6.1,scram_3.png
3,139,CEVR,scram,166,0.21953,166,36.3414,401,197.1055,197.522,197.5721,198.472,0.1,scram_9.png
3,140,CEVR,scram,174,0.21648,0,37.6494,318,198.5887,198.922,198.9721,199.872,6.1,scram_5.png
3,141,CEVR,scram,161,0.22463,0,36.1015,535,205.9884,206.5383,206.5884,207.4883,0.1,scram_8.png
3,142,CEVR,scram,138,0.268,0,37,1468,207.605,209.0882,209.1383,210.0382,2.1,scram_13.png
3,143,CEVR,scram,123,0.306,0,37.612,2068,212.1548,214.238,214.288,215.188,7.1,scram_22.png
3,144,CEVR,scram,93,0.38866,0,36.2227,2968,222.3044,225.2875,225.3376,226.2375,2.1,scram_16.png
3,145,CEVR,scram,166,0.21648,0,35.9176,318,228.3541,228.6874,228.7374,229.6373,0.1,scram_10.png
3,146,CEVR,scram,143,0.25397,0,36.2381,1201,229.7541,230.9706,231.0207,231.9205,0.1,scram_23.png
3,147,CEVR,scram,164,0.22463,164,36.7754,535,232.0539,232.6039,232.6539,233.5538,0.1,scram_4.png
3,148,CEVR,scram,140,0.26343,140,37,1384,233.6706,235.0704,235.1205,236.0204,2.1,scram_21.png
3,149,CEVR,scram,126,0.30478,0,38.5239,2051,238.137,240.2035,240.2536,241.1535,0.1,scram_24.png
3,150,CEVR,scram,141,0.25482,0,35.9807,1218,241.2702,242.5034,242.5535,243.4534,12.1,scram_6.png
4,151,DEV,happy,69,0.75997,69,52.4757,518,8.0541,8.5875,8.6375,9.5374,0.1,happy_18.png
4,152,DEV,happy,76,0.57758,76,43.9984,1334,9.6542,11.004,11.0541,11.954,2.1,happy_7.png
4,153,DEV,happy,76,0.53809,0,40.9978,1551,14.0706,15.6371,15.6872,16.5871,2.1,happy_10.png
4,154,DEV,happy,69,0.76431,0,52.6676,501,18.7037,19.2203,19.2704,20.1703,1.1,happy_3.png
4,155,DEV,happy,78,0.60027,0,46.5749,1218,21.287,22.5202,22.5702,23.4701,8.1,happy_5.png
4,156,DEV,happy,81,0.45896,0,37.2947,2068,31.5865,33.6697,33.7197,34.6196,0.1,happy_25.png
4,157,DEV,happy,68,0.75591,68,51.5381,534,34.7364,35.2863,35.3364,36.2363,0.1,happy_21.png
4,158,DEV,happy,75,0.78575,75,59.0825,418,36.353,36.7862,36.8363,37.7362,3.1,happy_6.png
4,159,DEV,happy,64,0.8079,64,52.0383,334,40.8528,41.2027,41.2527,42.1526,0.1,happy_24.png
4,160,DEV,happy,75,0.75997,75,57.0356,518,42.2694,42.8027,42.8527,43.7526,3.1,happy_12.png
4,161,DEV,happy,70,0.67926,70,47.8651,851,46.8692,47.7358,47.7858,48.6858,8.1,happy_15.png
4,162,DEV,happy,74,0.64197,74,47.8199,1018,56.8021,57.8353,57.8854,58.7853,0.1,happy_16.png
4,163,DEV,happy,69,0.7391,0,50.7826,601,58.902,59.5185,59.5686,60.4685,0.1,happy_23.png
4,164,DEV,happy,78,0.56497,0,43.7865,1401,60.5853,62.0018,62.0519,62.9518,4.1,happy_22.png
4,165,DEV,happy,67,0.77717,67,52.4462,451,67.0682,67.5349,67.5849,68.4848,0.1,happy_17.png
4,166,DEV,happy,75,0.61718,75,46.3797,1135,68.6016,69.7515,69.8015,70.7014,0.1,happy_8.png
4,167,DEV,happy,79,0.51838,79,40.7955,1668,70.8181,72.5013,72.5514,73.4513,0.1,happy_9.png
4,168,DEV,happy,78,0.48717,78,37.7603,1868,73.568,75.4512,75.5012,76.4011,0.1,happy_11.png
4,169,DEV,happy,75,0.55274,0,41.3536,1468,76.5179,78.0011,78.0512,78.9511,1.1,happy_19.png
4,170,DEV,happy,80,0.46575,80,37.2953,2018,80.0677,82.1009,82.151,83.0509,2.1,happy_1.png
4,171,DEV,happy,83,0.43353,83,35.9639,2268,85.1674,87.4507,87.5007,88.4006,6.1,happy_20.png
4,172,DEV,happy,72,0.77717,0,56.332,451,94.5338,95.0003,95.0504,95.9503,2.1,happy_2.png
4,173,DEV,happy,77,0.58064,77,44.7666,1318,98.0836,99.4168,99.4669,100.3668,5.1,happy_13.png
4,174,DEV,happy,84,0.44808,84,37.4393,2151,105.4999,107.6665,107.7165,108.6164,8.1,happy_4.png
4,175,DEV,happy,74,0.75997,0,56.2756,518,116.7495,117.2828,117.3328,118.2327,2.1,happy_14.png
4,176,DEV,happy,76,0.60713,76,46.3914,1184,120.366,121.5659,121.6159,122.5158,5.1,happy_18.png
4,177,DEV,happy,77,0.52399,77,40.1136,1634,127.649,129.2989,129.3489,130.2488,5.1,happy_13.png
4,178,DEV,happy,73,0.59035,73,43.0057,1268,135.382,136.6652,136.7153,137.6152,0.1,happy_25.png
4,179,DEV,happy,77,0.50505,77,38.9106,1751,137.7485,139.5151,139.5651,140.465,1.1,happy_23.png
4,180,DEV,happy,80,0.46575,80,37.2953,2018,141.5984,143.6315,143.6816,144.5815,0.1,happy_6.png
4,181,DEV,happy,79,0.52953,79,42.0507,1601,144.7149,146.3314,146.3815,147.2814,6.1,happy_7.png
4,182,DEV,happy,76,0.60713,0,46.3914,1184,153.4145,154.6144,154.6645,155.5644,3.1,happy_14.png
4,183,DEV,happy,73,0.54385,73,39.7246,1518,158.6976,160.2309,160.2809,161.1808,3.1,happy_4.png
4,184,DEV,happy,79,0.45458,79,36.0834,2101,164.3142,166.4306,166.4807,167.3805,6.1,happy_9.png
4,185,DEV,happy,71,0.7146,71,51.058,701,173.5137,174.2302,174.2803,175.1802,1.1,happy_12.png
4,186,DEV,happy,79,0.54385,0,42.9877,1518,176.3135,177.8467,177.8968,178.7967,1.1,happy_5.png
4,187,DEV,happy,79,0.47046,0,37.143,1984,179.93,181.9299,181.98,182.8799,1.1,happy_2.png
4,188,DEV,happy,70,0.6529,70,45.8298,968,184.0132,184.9964,185.0465,185.9464,1.1,happy_3.png
