run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image
1,1,DEV,scram,73,0.77717,73,57.1092,451,8.0634,8.5301,8.5801,9.4801,5.1,scram_2.png
1,2,DEV,scram,69,0.78575,69,54.368,418,14.6132,15.0465,15.0966,15.9964,1.1,scram_7.png
1,3,DEV,scram,69,0.73093,69,50.4047,634,17.0965,17.7464,17.7964,18.6963,2.1,scram_20.png
1,4,DEV,scram,68,0.67926,0,46.5066,851,20.813,21.6795,21.7296,22.6295,5.1,scram_12.png
1,5,DEV,scram,64,0.82561,64,52.6345,268,27.7293,28.0126,28.0626,28.9626,0.1,scram_19.png
1,6,DEV,scram,75,0.74333,75,55.4358,584,29.0626,29.6625,29.7126,30.6125,0.1,scram_4.png
1,7,DEV,scram,70,0.73093,70,51.1357,634,30.7125,31.3624,31.4125,32.3124,1.1,scram_15.png
1,8,DEV,scram,68,0.69483,0,47.2661,784,33.4124,34.2123,34.2624,35.1623,0.1,scram_24.png
1,9,DEV,scram,69,0.79466,69,54.7393,384,35.2623,35.6623,35.7123,36.6122,3.1,scram_5.png
1,10,DEV,scram,73,0.77717,73,57.1092,451,39.7122,40.1787,40.2288,41.1287,3.1,scram_9.png
1,11,DEV,scram,71,0.75591,71,53.8058,534,44.2286,44.7785,44.8286,45.7285,0.1,scram_18.png
1,12,DEV,scram,72,0.74734,72,54.1462,568,45.8286,46.4119,46.4619,47.3618,1.1,scram_3.png
1,13,DEV,scram,82,0.47271,0,38.7103,1968,48.4618,50.445,50.495,51.3949,1.1,scram_21.png
1,14,DEV,scram,73,0.76431,73,55.7248,501,52.4949,53.0115,53.0616,53.9615,1.1,scram_17.png
1,15,DEV,scram,68,0.77277,68,52.2631,468,55.0615,55.5447,55.5948,56.4947,4.1,scram_1.png
1,16,DEV,scram,71,0.75997,71,53.9957,518,60.5946,61.1282,61.1779,62.0778,10.1,scram_16.png
1,17,DEV,scram,68,0.78575,0,53.5823,418,72.1774,72.6107,72.6607,73.5606,1.1,scram_14.png
1,18,DEV,scram,67,0.77717,67,52.4462,451,74.6607,75.1278,75.1773,76.0772,2.1,scram_6.png
1,19,DEV,scram,69,0.77277,69,53.0359,468,78.1772,78.6604,78.7105,79.6104,5.1,scram_22.png
1,20,DEV,scram,72,0.79019,72,56.9253,401,84.7102,85.1274,85.1768,86.0768,0.1,scram_23.png
1,21,DEV,scram,75,0.78575,0,59.0825,418,86.1768,86.6101,86.6601,87.56,0.1,scram_13.png
1,22,DEV,scram,67,0.74734,67,50.4095,568,87.6601,88.2433,88.2934,89.1933,0.1,scram_25.png
1,23,DEV,scram,70,0.7391,70,51.5217,601,89.2934,89.9099,89.96,90.8599,0.1,scram_11.png
1,24,DEV,scram,69,0.76866,0,52.858,484,90.96,91.4599,91.5099,92.4098,4.1,scram_10.png
1,25,DEV,scram,69,0.73093,0,50.4047,634,96.5097,97.1596,97.2097,98.1096,2.1,scram_8.png
1,26,DEV,scram,69,0.75591,0,52.294,534,100.2101,100.7595,100.8095,101.7094,8.1,scram_21.png
1,27,DEV,scram,76,0.52118,76,39.4144,1651,109.8091,111.4757,111.5257,112.4256,4.1,scram_16.png
1,28,DEV,scram,78,0.52399,0,40.6376,1634,116.5255,118.1754,118.2254,119.1259,0.1,scram_14.png
1,29,DEV,scram,80,0.5589,80,44.5208,1434,119.2254,120.6753,120.7253,121.6252,3.1,scram_19.png
1,30,DEV,scram,77,0.55581,0,42.6511,1451,124.7252,126.1917,126.2418,127.1416,2.1,scram_23.png
1,31,DEV,scram,75,0.5589,0,41.7263,1434,129.2416,130.6915,130.7416,131.6415,0.1,scram_4.png
1,32,DEV,scram,79,0.58722,0,46.3486,1284,131.7416,133.0414,133.0915,133.9914,1.1,scram_3.png
1,33,DEV,scram,82,0.41246,82,33.6379,2451,135.0918,137.5579,137.6079,138.5079,1.1,scram_1.png
1,34,DEV,scram,76,0.4257,76,32.4282,2334,139.6079,141.9577,142.0077,142.9076,7.1,scram_13.png
1,35,DEV,scram,83,0.42372,0,35.2676,2351,150.0573,152.4239,152.4739,153.3739,0.1,scram_7.png
1,36,DEV,scram,69,0.68689,0,47.568,818,153.4739,154.3071,154.3572,155.2571,0.1,scram_8.png
1,37,DEV,scram,83,0.3426,0,28.3295,3201,155.3572,158.5736,158.6237,159.5236,2.1,scram_18.png
1,38,DEV,scram,71,0.71051,71,50.1408,718,161.6236,162.3568,162.4069,163.3068,0.1,scram_10.png
1,39,DEV,scram,75,0.74333,75,55.4358,584,163.4068,164.0067,164.0568,164.9567,0.1,scram_15.png
1,40,DEV,scram,71,0.74734,71,53.3988,568,165.0568,165.64,165.6901,166.59,1.1,scram_5.png
1,41,DEV,scram,73,0.7391,73,53.739,601,167.6902,168.3065,168.3566,169.2565,8.1,scram_11.png
1,42,DEV,scram,72,0.79019,72,56.9253,401,177.3729,177.7895,177.8395,178.7394,11.1,scram_17.png
1,43,DEV,scram,74,0.74333,74,54.6925,584,189.8557,190.4556,190.5056,191.4056,0.1,scram_9.png
1,44,DEV,scram,67,0.76866,67,51.3207,484,191.5056,192.0056,192.0556,192.9555,0.1,scram_25.png
