run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image
1,1,DEV,scram,67,7.64E-01,67,5.11E+01,501,8.03E+00,8.54E+00,8.59E+00,9.49E+00,1.00E-01,scram_2.png
1,2,DEV,scram,79,6.53E-01,0,5.17E+01,967,9.59E+00,1.06E+01,1.06E+01,1.15E+01,7.10E+00,scram_7.png
1,3,DEV,scram,73,5.41E-01,0,3.96E+01,1534,1.86E+01,2.02E+01,2.02E+01,2.11E+01,4.10E+00,scram_20.png
1,4,DEV,scram,72,6.83E-01,72,4.94E+01,834,2.52E+01,2.61E+01,2.61E+01,2.70E+01,1.00E-01,scram_12.png
1,5,DEV,scram,68,6.87E-01,0,4.69E+01,817,2.71E+01,2.80E+01,2.80E+01,2.89E+01,1.00E-01,scram_19.png
1,6,DEV,scram,77,4.28E-01,77,3.30E+01,2317,2.90E+01,3.13E+01,3.14E+01,3.23E+01,2.10E+00,scram_4.png
1,7,DEV,scram,84,3.61E-01,0,3.03E+01,2983,3.44E+01,3.74E+01,3.74E+01,3.84E+01,1.00E-01,scram_15.png
1,8,DEV,scram,74,6.72E-01,74,4.95E+01,884,3.84E+01,3.93E+01,3.94E+01,4.03E+01,2.10E+00,scram_24.png
1,9,DEV,scram,71,6.95E-01,71,4.94E+01,784,4.24E+01,4.32E+01,4.32E+01,4.41E+01,1.00E-01,scram_5.png
1,10,DEV,scram,69,7.35E-01,0,5.06E+01,617,4.42E+01,4.49E+01,4.49E+01,4.58E+01,1.00E-01,scram_9.png
1,11,DEV,scram,69,7.39E-01,69,5.08E+01,601,4.59E+01,4.65E+01,4.66E+01,4.75E+01,1.00E-01,scram_18.png
1,12,DEV,scram,76,6.24E-01,76,4.74E+01,1100,4.76E+01,4.87E+01,4.87E+01,4.96E+01,1.10E+00,scram_3.png
1,13,DEV,scram,73,5.27E-01,0,3.87E+01,1617,5.07E+01,5.24E+01,5.24E+01,5.33E+01,4.10E+00,scram_21.png
1,14,DEV,scram,75,7.35E-01,0,5.50E+01,617,5.74E+01,5.81E+01,5.81E+01,5.90E+01,1.10E+00,scram_17.png
1,15,DEV,scram,73,6.42E-01,73,4.72E+01,1017,6.01E+01,6.11E+01,6.12E+01,6.21E+01,1.11E+01,scram_1.png
1,16,DEV,scram,81,3.40E-01,0,2.75E+01,3233,7.32E+01,7.64E+01,7.65E+01,7.74E+01,1.00E-01,scram_16.png
1,17,DEV,scram,74,6.76E-01,74,4.97E+01,867,7.75E+01,7.84E+01,7.84E+01,7.93E+01,4.10E+00,scram_14.png
1,18,DEV,scram,75,7.31E-01,0,5.48E+01,634,8.34E+01,8.41E+01,8.41E+01,8.50E+01,3.10E+00,scram_6.png
1,19,DEV,scram,72,6.87E-01,72,4.96E+01,817,8.81E+01,8.90E+01,8.90E+01,8.99E+01,3.10E+00,scram_22.png
1,20,DEV,scram,75,6.35E-01,0,4.74E+01,1051,9.30E+01,9.41E+01,9.41E+01,9.50E+01,5.10E+00,scram_23.png
1,21,DEV,scram,74,7.90E-01,74,5.85E+01,401,1.00E+02,1.01E+02,1.01E+02,1.01E+02,1.01E+01,scram_13.png
1,22,DEV,scram,72,7.64E-01,0,5.50E+01,501,1.12E+02,1.12E+02,1.12E+02,1.13E+02,1.10E+00,scram_25.png
1,23,DEV,scram,80,4.57E-01,0,3.67E+01,2084,1.14E+02,1.16E+02,1.16E+02,1.17E+02,1.00E-01,scram_11.png
1,24,DEV,scram,70,7.15E-01,70,5.03E+01,701,1.17E+02,1.18E+02,1.18E+02,1.19E+02,1.10E+00,scram_10.png
1,25,DEV,scram,69,7.39E-01,69,5.08E+01,601,1.20E+02,1.21E+02,1.21E+02,1.22E+02,1.00E-01,scram_8.png
1,26,DEV,scram,68,7.48E-01,0,5.12E+01,567,1.22E+02,1.22E+02,1.22E+02,1.23E+02,2.10E+00,scram_21.png
1,27,DEV,scram,71,6.76E-01,71,4.77E+01,867,1.25E+02,1.26E+02,1.26E+02,1.27E+02,1.10E+00,scram_16.png
1,28,DEV,scram,72,6.99E-01,72,5.03E+01,767,1.28E+02,1.29E+02,1.29E+02,1.30E+02,1.00E-01,scram_14.png
1,29,DEV,scram,78,6.64E-01,78,5.17E+01,917,1.30E+02,1.31E+02,1.31E+02,1.32E+02,1.10E+00,scram_19.png
1,30,DEV,scram,71,6.46E-01,71,4.61E+01,1001,1.33E+02,1.34E+02,1.34E+02,1.35E+02,1.10E+00,scram_23.png
1,31,DEV,scram,78,6.87E-01,0,5.38E+01,817,1.36E+02,1.37E+02,1.37E+02,1.38E+02,2.10E+00,scram_4.png
1,32,DEV,scram,70,6.53E-01,70,4.58E+01,967,1.40E+02,1.41E+02,1.41E+02,1.42E+02,9.10E+00,scram_3.png
