run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image
1,1,DEV,scram,76,0.69483,76,52.8248,784,8.0327,8.8327,8.8999,9.7827,5.1,scram_2.png
1,2,DEV,scram,72,0.70668,0,50.6565,734,14.9158,15.6657,15.7158,16.6157,1.1,scram_7.png
1,3,DEV,scram,71,0.64938,0,46.294,984,17.7157,18.7156,18.7656,19.6656,2.1,scram_20.png
1,4,DEV,scram,73,0.4999,0,36.5812,1784,21.7822,23.5821,23.6322,24.532,5.1,scram_12.png
1,5,DEV,scram,77,0.35364,77,27.3509,3067,29.6319,32.715,32.765,33.6649,0.1,scram_19.png
1,6,DEV,scram,86,0.34667,86,29.6614,3151,33.765,36.9315,36.9816,37.8814,0.1,scram_4.png
1,7,DEV,scram,81,0.32941,0,26.7175,3367,37.9815,41.3646,41.4147,42.3146,1.1,scram_15.png
1,8,DEV,scram,70,0.63124,0,44.0454,1068,43.4146,44.4978,44.5479,45.4478,0.1,scram_24.png
1,9,DEV,scram,69,0.77717,69,54.0005,451,45.5478,46.0144,46.0644,46.9644,3.1,scram_5.png
1,10,DEV,scram,74,0.76866,74,56.7013,484,50.0643,50.5642,50.6142,51.5142,3.1,scram_9.png
1,11,DEV,scram,70,0.78158,70,54.9723,434,54.6141,55.064,55.114,56.014,0.1,scram_18.png
1,12,DEV,scram,72,0.75591,72,54.5617,534,56.114,56.664,56.714,57.6139,1.1,scram_3.png
1,13,DEV,scram,74,0.77639,74,57.0723,454,58.7139,59.1805,59.2305,60.1305,1.1,scram_21.png
1,14,DEV,scram,73,0.76431,73,55.7248,501,61.2305,61.7471,61.7971,62.697,1.1,scram_17.png
1,15,DEV,scram,74,0.53516,0,39.7443,1568,63.797,65.3802,65.4303,66.3302,4.1,scram_1.png
1,16,DEV,scram,83,0.34131,83,28.2366,3217,70.4301,73.6632,73.7132,74.6132,10.1,scram_16.png
1,17,DEV,scram,70,0.7146,0,50.3434,701,84.7128,85.4294,85.4794,86.3793,1.1,scram_14.png
1,18,DEV,scram,67,0.77717,67,52.4462,451,87.4793,87.9459,87.996,88.8959,2.1,scram_6.png
1,19,DEV,scram,69,0.75591,69,52.294,534,90.9958,91.5457,91.5958,92.4957,5.1,scram_22.png
1,20,DEV,scram,73,0.75161,73,55.1061,551,97.5955,98.1621,98.2121,99.1121,0.1,scram_23.png
1,21,DEV,scram,76,0.75591,0,57.5853,534,99.2121,99.762,99.8121,100.712,0.1,scram_13.png
1,22,DEV,scram,66,0.79466,66,52.3554,384,100.812,101.212,101.262,102.162,0.1,scram_25.png
1,23,DEV,scram,69,0.77277,69,53.0359,468,102.262,102.7453,102.7953,103.6952,0.1,scram_11.png
1,24,DEV,scram,69,0.75997,0,52.4757,518,103.7953,104.3285,104.3786,105.2785,4.1,scram_10.png
1,25,DEV,scram,68,0.75591,0,51.5381,534,109.3784,109.9283,109.9783,110.8782,2.1,scram_8.png
1,26,DEV,scram,80,0.36359,0,29.0973,2951,112.9782,115.9447,115.9947,116.8946,8.1,scram_21.png
1,27,DEV,scram,80,0.36801,80,29.4003,2901,124.9943,127.9108,127.9609,128.8608,4.1,scram_16.png
1,28,DEV,scram,82,0.35499,0,29.215,3051,132.9606,136.0271,136.0772,136.9771,0.1,scram_14.png
1,29,DEV,scram,76,0.68689,76,52.3762,818,137.0772,137.9104,137.9605,138.8603,3.1,scram_19.png
1,30,DEV,scram,70,0.78158,70,54.9723,434,141.9603,142.4102,142.4602,143.3601,2.1,scram_23.png
1,31,DEV,scram,69,0.76431,0,52.6676,501,145.4601,145.9767,146.0267,146.9267,0.1,scram_4.png
1,32,DEV,scram,76,0.67926,0,51.9407,851,147.06,147.9266,147.9766,148.8766,1.1,scram_3.png
1,33,DEV,scram,73,0.7391,73,53.739,601,149.9766,150.5932,150.6432,151.5431,1.1,scram_1.png
1,34,DEV,scram,67,0.75161,67,50.5964,551,152.6431,153.2097,153.2598,154.1597,7.1,scram_13.png
1,35,DEV,scram,75,0.73488,75,54.9976,618,161.2761,161.9093,161.9594,162.8593,0.1,scram_7.png
1,36,DEV,scram,67,0.74734,0,50.4095,568,162.9594,163.5426,163.5926,164.4926,0.1,scram_8.png
1,37,DEV,scram,70,0.78158,70,54.9723,434,164.6093,165.0592,165.1093,166.0092,2.1,scram_18.png
1,38,DEV,scram,70,0.74333,70,51.7192,584,168.1258,168.7257,168.7757,169.6757,0.1,scram_10.png
1,39,DEV,scram,75,0.74333,75,55.4358,584,169.7924,170.3923,170.4424,171.3423,0.1,scram_15.png
1,40,DEV,scram,72,0.73488,72,52.793,618,171.459,172.0922,172.1422,173.0422,1.1,scram_5.png
1,41,DEV,scram,73,0.73488,73,53.5279,618,174.1588,174.7921,174.8421,175.7421,8.1,scram_11.png
1,42,DEV,scram,73,0.75161,73,55.1061,551,183.8584,184.425,184.4751,185.375,11.1,scram_17.png
1,43,DEV,scram,73,0.75997,73,55.5156,518,196.4912,197.0245,197.0745,197.9744,0.1,scram_9.png
1,44,DEV,scram,67,0.75161,67,50.5964,551,198.0745,198.6411,198.6911,199.591,0.1,scram_25.png
1,45,DEV,scram,76,0.73488,76,55.7325,618,199.7077,200.341,200.391,201.2909,4.1,scram_12.png
1,46,DEV,scram,74,0.74734,74,55.6408,568,205.4075,205.9907,206.0408,206.9407,0.1,scram_20.png
1,47,DEV,scram,77,0.74333,77,56.9225,584,207.0574,207.6573,207.7074,208.6073,0.1,scram_22.png
1,48,DEV,scram,71,0.73488,71,52.0581,618,208.724,209.3573,209.4073,210.3072,3.1,scram_6.png
1,49,DEV,scram,77,0.72261,77,55.7931,668,213.4238,214.1071,214.1571,215.057,6.1,scram_2.png
1,50,DEV,scram,75,0.74333,75,55.4358,584,221.1735,221.7734,221.8234,222.7233,12.1,scram_24.png
2,51,IEV,happy,24,0.88724,24,20.9492,651,8.0319,8.6986,8.7486,9.6486,0.1,happy_8.png
2,52,IEV,happy,21,0.87571,21,18.3597,884,9.7653,10.6651,10.7152,11.6151,0.1,happy_20.png
2,53,IEV,happy,35,0.81684,35,28.7536,1568,11.7318,13.315,13.3651,14.265,0.1,happy_23.png
2,54,IEV,happy,47,0.75018,47,35.365,2068,14.3817,16.4649,16.5149,17.4148,2.1,happy_21.png
2,55,IEV,happy,62,0.63541,62,39.2977,2734,19.5315,22.2813,22.3314,23.2313,4.1,happy_13.png
2,56,IEV,happy,78,0.55304,78,43.1019,3151,27.3478,30.5143,30.5643,31.4642,1.1,happy_16.png
2,57,IEV,happy,97,0.4982,0,48.547,3417,32.5809,36.014,36.064,36.964,0.1,happy_1.png
2,58,IEV,happy,70,0.58671,70,41.1252,2984,37.0807,40.0805,40.1306,41.0305,6.1,happy_11.png
2,59,IEV,happy,79,0.57007,0,44.9686,3067,47.1469,50.2301,50.2801,51.18,2.1,happy_17.png
2,60,IEV,happy,69,0.60979,69,42.1326,2867,53.2966,56.1798,56.2299,57.1298,2.1,happy_18.png
2,61,IEV,happy,67,0.60313,67,40.1131,2901,59.2464,62.1629,62.2129,63.1128,4.1,happy_15.png
2,62,IEV,happy,67,0.59998,67,40.3096,2917,67.2294,70.1625,70.2125,71.1125,0.1,happy_24.png
2,63,IEV,happy,71,0.58671,71,41.7119,2984,71.2292,74.2291,74.2791,75.179,0.1,happy_22.png
2,64,IEV,happy,71,0.58012,71,40.9423,3017,75.2957,78.3288,78.3789,79.2788,1.1,happy_6.png
2,65,IEV,happy,75,0.59998,0,45.1095,2917,80.3955,83.3286,83.3787,84.2786,1.1,happy_4.png
2,66,IEV,happy,77,0.57329,77,44.2215,3051,85.3952,88.4617,88.5117,89.4617,0.1,happy_14.png
2,67,IEV,happy,81,0.57329,81,46.5147,3051,89.5284,92.5949,92.6449,93.5449,1.1,happy_7.png
2,68,IEV,happy,75,0.56664,75,42.3191,3084,94.6615,97.7613,97.8114,98.7113,9.1,happy_5.png
2,69,IEV,happy,76,0.57329,0,43.6482,3051,107.8276,110.8941,110.9441,111.844,4.1,happy_9.png
2,70,IEV,happy,70,0.59979,70,42.1212,2918,115.9606,118.8937,118.9438,119.8437,3.1,happy_2.png
2,71,IEV,happy,61,0.62912,61,38.4438,2767,122.9603,125.7434,125.7934,126.6934,8.1,happy_3.png
2,72,IEV,happy,81,0.58012,0,46.7435,3017,134.8098,137.8429,137.8929,138.7929,0.1,happy_25.png
2,73,IEV,happy,62,0.62586,62,38.6578,2784,138.9096,141.7094,141.7594,142.6594,0.1,happy_10.png
2,74,IEV,happy,63,0.63218,63,40.1384,2751,142.7761,145.5426,145.5926,146.4925,1.1,happy_12.png
2,75,IEV,happy,59,0.63218,0,37.6097,2751,147.6092,150.3757,150.4257,151.3256,1.1,happy_19.png
2,76,IEV,happy,79,0.55304,79,43.6549,3151,152.4423,155.6088,155.6588,156.5588,8.1,happy_25.png
2,77,IEV,happy,71,0.6096,0,43.3634,2868,164.6751,167.5583,167.6083,168.5082,1.1,happy_17.png
2,78,IEV,happy,57,0.6694,57,38.3584,2551,169.6249,172.1914,172.2415,173.1413,0.1,happy_5.png
2,79,IEV,happy,66,0.61291,66,40.7209,2851,173.2581,176.1246,176.1746,177.0745,0.1,happy_18.png
2,80,IEV,happy,69,0.59663,0,41.1143,2934,177.1912,180.141,180.1911,181.091,1.1,happy_8.png
2,81,IEV,happy,72,0.58332,0,41.9135,3001,182.2077,185.2242,185.2742,186.1741,1.1,happy_22.png
2,82,IEV,happy,69,0.61621,69,42.3646,2834,187.2908,190.1406,190.1906,191.0906,3.1,happy_21.png
