run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image
1,1,IEV,fear,28,0.86485,28,24.221,1051,8.0685,9.1352,9.1857,10.0851,5.1,fear_11.png
1,2,IEV,fear,58,0.68726,58,39.8785,2451,15.2016,17.6681,17.7182,18.6181,1.1,fear_8.png
1,3,IEV,fear,44,0.72127,44,31.7603,2251,19.7348,22.0013,22.0513,22.9512,2.1,fear_17.png
1,4,IEV,fear,66,0.62586,66,41.1612,2784,25.0678,27.8677,27.9178,28.8176,0.1,fear_13.png
1,5,IEV,fear,80,0.58332,0,46.5801,3001,28.9177,31.9341,31.9842,32.8841,1.1,fear_5.png
1,6,IEV,fear,45,0.76989,45,34.5536,1934,33.9842,35.934,35.9841,36.884,3.1,fear_23.png
1,7,IEV,fear,58,0.66339,0,38.761,2584,39.9839,42.5837,42.6338,43.5337,0.1,fear_18.png
1,8,IEV,fear,29,0.81304,29,23.436,1601,43.6337,45.2502,45.3003,46.2002,0.1,fear_19.png
1,9,IEV,fear,47,0.75033,47,35.3531,2067,46.3003,48.3835,48.4335,49.3334,2.1,fear_6.png
1,10,IEV,fear,52,0.72939,0,37.6687,2201,51.4334,53.6499,53.6999,54.5998,0.1,fear_16.png
1,11,IEV,fear,30,0.79683,30,24.2829,1734,54.6999,56.4498,56.4998,57.3997,0.1,fear_1.png
1,12,IEV,fear,29,0.86116,29,24.6925,1101,57.5164,58.633,58.6831,59.583,0.1,fear_10.png
1,13,IEV,fear,37,0.80711,37,29.6983,1651,59.6997,61.3662,61.4163,62.3162,4.1,fear_4.png
1,14,IEV,fear,35,0.79466,35,27.677,1751,66.416,68.1826,68.2326,69.1326,0.1,fear_2.png
1,15,IEV,fear,94,0.49466,0,46.7304,3434,69.2493,72.6991,72.7491,73.649,4.1,fear_21.png
1,16,IEV,fear,29,0.80309,29,23.6534,1684,77.7655,79.4654,79.5154,80.4154,0.1,fear_9.png
1,17,IEV,fear,32,0.79038,32,24.9184,1784,80.5154,82.3153,82.3653,83.2652,1.1,fear_12.png
1,18,IEV,fear,47,0.74774,47,34.8066,2084,84.3653,86.4651,86.5152,87.4151,11.1,fear_24.png
1,19,IEV,fear,25,0.84887,25,21.0806,1251,98.5146,99.7812,99.8313,100.7312,3.1,fear_25.png
1,20,IEV,fear,42,0.72665,0,30.6006,2218,103.8311,106.0642,106.1143,107.0142,0.1,fear_20.png
1,21,IEV,fear,95,0.4982,95,47.5506,3417,107.1143,110.5474,110.5974,111.4973,4.1,fear_7.png
1,22,IEV,fear,81,0.56987,0,46.1191,3068,115.5972,118.6804,118.7304,119.6303,1.1,fear_22.png
1,23,IEV,fear,59,0.66027,59,38.9678,2601,120.7303,123.3468,123.3969,124.2968,1.1,fear_14.png
1,24,IEV,fear,103,0.48069,103,49.3361,3501,125.3968,128.9133,128.9633,129.8632,0.1,fear_15.png
1,25,IEV,fear,100,0.49466,0,49.6984,3434,129.9633,133.4131,133.4631,134.363,0.1,fear_3.png
1,26,IEV,fear,93,0.51874,93,48.0994,3318,134.4631,137.7962,137.8462,138.7462,3.1,fear_9.png
1,27,IEV,fear,81,0.54631,0,44.0284,3184,141.8461,145.0459,145.0959,145.9959,2.1,fear_24.png
1,28,IEV,fear,42,0.7553,42,31.9417,2034,148.0958,150.1457,150.1957,151.0956,5.1,fear_14.png
1,29,IEV,fear,23,0.85727,0,20.032,1151,156.1955,157.362,157.4121,158.312,5.1,fear_2.png
1,30,IEV,fear,41,0.7425,41,30.7592,2118,163.4118,165.545,165.595,166.4949,1.1,fear_22.png
1,31,IEV,fear,95,0.49466,0,47.2251,3434,167.5949,171.0447,171.0948,171.9947,8.1,fear_10.png
1,32,IEV,fear,45,0.75275,45,33.6584,2051,180.1111,182.1776,182.2276,183.1275,2.1,fear_25.png
1,33,IEV,fear,80,0.58332,0,46.5801,3001,185.2442,188.2606,188.3107,189.2106,9.1,fear_8.png
1,34,IEV,fear,22,0.85173,22,19.026,1218,198.3269,199.5602,199.6102,200.5101,0.1,fear_16.png
1,35,IEV,fear,43,0.73734,43,31.9234,2151,200.6268,202.7934,202.8434,203.7433,1.1,fear_6.png
1,36,IEV,fear,36,0.78144,0,28.1225,1851,204.86,206.7265,206.7765,207.6765,5.1,fear_5.png
1,37,IEV,fear,21,0.86485,21,18.167,1051,212.793,213.8596,213.9096,214.8095,4.1,fear_17.png
1,38,IEV,fear,91,0.51191,0,46.3714,3351,218.926,222.2925,222.3426,223.2425,3.1,fear_20.png
1,39,IEV,fear,0,0,0,0,4000,226.359,230.3755,230.4255,231.3254,1.1,fear_21.png
1,40,IEV,fear,80,0.56664,80,45.1523,3084,232.4421,235.5419,235.592,236.4919,6.1,fear_13.png
1,41,IEV,fear,77,0.56987,77,43.8397,3068,242.6083,245.6915,245.7415,246.6414,0.1,fear_7.png
1,42,IEV,fear,84,0.54978,0,46.0356,3167,246.7582,249.9413,249.9913,250.8913,0.1,fear_12.png
1,43,IEV,fear,46,0.75768,46,34.7739,2018,251.008,253.0412,253.0912,253.9911,0.1,fear_11.png
1,44,IEV,fear,66,0.64165,66,42.0994,2701,254.1078,256.8243,256.8743,257.7743,10.1,fear_23.png
1,45,IEV,fear,21,0.87471,21,18.5087,901,267.8906,268.8071,268.8572,269.7571,0.1,fear_4.png
1,46,IEV,fear,0,0,0,0,4000,269.8738,273.8902,273.9403,274.8402,0.1,fear_19.png
1,47,IEV,fear,104,0.4598,104,47.9378,3601,274.9569,278.5734,278.6235,279.5233,1.1,fear_3.png
1,48,IEV,fear,126,0.41805,0,52.7428,3801,280.64,284.4564,284.5065,285.4064,2.1,fear_15.png
1,49,IEV,fear,115,0.42847,0,49.3637,3751,287.523,291.2895,291.3395,292.2394,1.1,fear_18.png
1,50,IEV,fear,24,0.86244,24,21.0811,1084,293.3561,294.456,294.5061,295.406,12.1,fear_1.png
2,51,CEV,scram,50,0.71171,50,35.5766,1318,8.0541,9.3874,9.4374,10.3373,1.1,scram_18.png
2,52,CEV,scram,74,0.51886,74,38.5566,2668,11.4539,14.1371,14.1872,15.0871,0.1,scram_2.png
2,53,CEV,scram,94,0.39271,94,37,3551,15.2038,18.7702,18.8204,19.7202,0.1,scram_14.png
2,54,CEV,scram,86,0.43329,86,37.4333,3267,19.8369,23.1201,23.1701,24.07,0.1,scram_5.png
2,55,CEV,scram,109,0.34514,109,37.6903,3884,24.1867,28.0865,28.1365,29.0365,4.1,scram_7.png
2,56,CEV,scram,52,0.738,52,38.476,1134,33.153,34.3029,34.353,35.2529,1.1,scram_8.png
2,57,CEV,scram,66,0.52614,66,34.8954,2617,36.3695,39.0027,39.0528,39.9527,0.1,scram_4.png
2,58,CEV,scram,88,0.438,88,38.752,3234,40.0694,43.3192,43.3692,44.2692,0.1,scram_9.png
2,59,CEV,scram,102,0.37371,102,38.1211,3684,44.3859,48.0856,48.1357,49.0356,1.1,scram_20.png
2,60,CEV,scram,101,0.38557,0,38.9279,3601,50.1523,53.7687,53.8187,54.7187,3.1,scram_11.png
2,61,CEV,scram,57,0.64029,57,36.3597,1818,57.8353,59.6685,59.7185,60.6184,5.1,scram_24.png
2,62,CEV,scram,72,0.55457,72,39.7729,2418,65.7349,68.1681,68.2181,69.1181,1.1,scram_1.png
2,63,CEV,scram,75,0.51414,75,38.5424,2701,70.2347,72.9512,73.0013,73.9012,2.1,scram_12.png
2,64,CEV,scram,66,0.59986,0,39.3994,2101,76.0511,78.1677,78.2177,79.1176,5.1,scram_6.png
2,65,CEV,scram,82,0.44757,82,36.5524,3167,84.2341,87.4172,87.4673,88.3672,0.1,scram_21.png
2,66,CEV,scram,92,0.41657,92,38.2497,3384,88.4839,91.8837,91.9338,92.8337,0.1,scram_23.png
2,67,CEV,scram,98,0.39514,0,38.5806,3534,92.9504,96.5002,96.5502,97.4501,2.1,scram_22.png
2,68,CEV,scram,75,0.47843,75,36.0431,2951,99.5668,102.5333,102.5833,103.4832,8.1,scram_25.png
2,69,CEV,scram,63,0.55229,63,34.7909,2434,111.5996,114.0494,114.0995,114.9994,2.1,scram_17.png
2,70,CEV,scram,80,0.47129,0,37.4713,3001,117.116,120.1325,120.1825,121.0824,8.1,scram_10.png
2,71,CEV,scram,62,0.56414,62,34.7434,2351,129.1988,131.5653,131.6154,132.5153,3.1,scram_19.png
2,72,CEV,scram,51,0.738,0,37.738,1134,135.6318,136.7818,136.8318,137.7317,0.1,scram_15.png
2,73,CEV,scram,80,0.46414,80,37,3051,137.8484,140.9149,140.965,141.8649,0.1,scram_13.png
2,74,CEV,scram,89,0.39986,0,35.4006,3501,141.9816,145.498,145.5481,146.448,1.1,scram_3.png
2,75,CEV,scram,106,0.33557,106,35.6577,3951,147.5647,151.5312,151.5811,152.4811,1.1,scram_16.png
2,76,CEV,scram,106,0.34043,106,35.9787,3917,153.5978,157.5308,157.5809,158.4808,0.1,scram_20.png
2,77,CEV,scram,105,0.33557,0,35.3221,3951,158.5975,162.564,162.614,163.5139,4.1,scram_12.png
2,78,CEV,scram,48,0.84986,0,40.3994,351,167.6305,167.9971,168.0471,168.947,10.1,scram_14.png
2,79,CEV,scram,89,0.41657,0,37,3384,179.0633,182.4631,182.5131,183.4131,0.1,scram_13.png
2,80,CEV,scram,96,0.40229,96,38.6091,3484,183.5298,187.0296,187.0796,187.9795,7.1,scram_11.png
2,81,CEV,scram,50,0.68314,50,34.2674,1518,195.0959,196.6291,196.6792,197.5791,0.1,scram_24.png
2,82,CEV,scram,55,0.66657,0,36.3334,1634,197.6958,199.3457,199.3957,200.2956,1.1,scram_21.png
2,83,CEV,scram,94,0.39043,94,36.6096,3567,201.4123,204.9954,205.0455,205.9454,2.1,scram_3.png
2,84,CEV,scram,85,0.41657,85,35.3337,3384,208.062,211.4618,211.5118,212.4118,5.1,scram_10.png
2,85,CEV,scram,93,0.419,0,39.095,3367,217.5283,220.9114,220.9614,221.8614,4.1,scram_9.png
2,86,CEV,scram,84,0.42129,0,35.3149,3351,225.9779,229.3444,229.3944,230.2943,2.1,scram_2.png
2,87,CEV,scram,51,0.71171,51,36.2883,1318,232.4109,233.7442,233.7942,234.6941,0.1,scram_5.png
2,88,CEV,scram,56,0.60229,0,33.9886,2084,234.8109,236.9107,236.9608,237.8607,0.1,scram_15.png
2,89,CEV,scram,45,0.76657,45,34.7003,934,237.9774,238.9273,238.9773,239.8772,0.1,scram_17.png
2,90,CEV,scram,51,0.757,51,38.514,1001,239.994,241.0105,241.0605,241.9605,4.1,scram_1.png
2,91,CEV,scram,49,0.75943,49,37,984,246.077,247.0769,247.127,248.0269,0.1,scram_8.png
2,92,CEV,scram,48,0.74271,48,35.5146,1101,248.1436,249.2602,249.3102,250.2101,3.1,scram_4.png
2,93,CEV,scram,56,0.62843,0,35.1147,1901,253.3267,255.2432,255.2933,256.1932,0.1,scram_23.png
2,94,CEV,scram,76,0.47129,0,35.5861,3001,256.3099,259.3264,259.3764,260.2764,0.1,scram_6.png
2,95,CEV,scram,52,0.72371,52,37.7237,1234,260.3931,261.643,261.693,262.5929,0.1,scram_18.png
2,96,CEV,scram,50,0.68314,0,34.2674,1518,262.7096,264.2428,264.2929,265.1929,6.1,scram_22.png
2,97,CEV,scram,55,0.71171,0,39.1351,1318,271.3093,272.6425,272.6925,273.5924,3.1,scram_16.png
2,98,CEV,scram,49,0.73314,49,36.2669,1168,276.709,277.8922,277.9423,278.8422,1.1,scram_25.png
2,99,CEV,scram,47,0.75457,47,35.4909,1018,279.9589,280.9921,281.0421,281.9421,5.1,scram_19.png
2,100,CEV,scram,48,0.76414,48,37,951,287.0586,288.0251,288.0751,288.9751,12.1,scram_7.png
3,101,DEV,fear,78,0.63852,0,49.5372,1034,8.0596,9.1095,9.1595,10.0595,0.1,fear_1.png
3,102,DEV,fear,78,0.46809,0,36.5176,2001,10.1762,12.1927,12.2428,13.1427,1.1,fear_10.png
3,103,DEV,fear,71,0.76866,0,54.3953,484,14.2593,14.7593,14.8093,15.7092,0.1,fear_15.png
3,104,DEV,fear,87,0.31902,0,27.8923,3501,15.8259,19.3424,19.3925,20.2924,4.1,fear_22.png
3,105,DEV,fear,71,0.79019,0,56.1351,401,24.4089,24.8255,24.8756,25.7755,1.1,fear_21.png
3,106,DEV,fear,76,0.61387,0,46.7986,1151,26.8921,28.0587,28.1087,29.0087,7.1,fear_19.png
3,107,DEV,fear,75,0.55581,75,41.5395,1451,36.1251,37.5916,37.6416,38.5416,6.1,fear_13.png
3,108,DEV,fear,74,0.52667,74,39.2287,1618,44.658,46.2912,46.3413,47.2412,1.1,fear_5.png
3,109,DEV,fear,75,0.50774,0,38.0667,1734,48.3579,50.1077,50.1578,51.0577,0.1,fear_4.png
3,110,DEV,fear,74,0.56497,74,41.5266,1401,51.1744,52.591,52.641,53.5409,0.1,fear_25.png
3,111,DEV,fear,75,0.5937,75,44.3855,1251,53.6577,54.9242,54.9742,55.8741,7.1,fear_11.png
3,112,DEV,fear,79,0.62785,79,49.516,1084,62.9906,64.0905,64.1405,65.0404,5.1,fear_23.png
3,113,DEV,fear,72,0.61039,72,44.147,1168,70.1569,71.3401,71.3902,72.2901,0.1,fear_17.png
3,114,DEV,fear,80,0.60713,0,48.8199,1184,72.4068,73.6067,73.6567,74.5567,1.1,fear_20.png
3,115,DEV,fear,70,0.65667,70,46.0266,951,75.6733,76.6399,76.69,77.5899,0.1,fear_2.png
3,116,DEV,fear,72,0.69085,72,49.8372,801,77.7066,78.5232,78.5732,79.4731,0.1,fear_16.png
3,117,DEV,fear,72,0.66403,72,47.7371,918,79.5898,80.5231,80.5731,81.473,0.1,fear_3.png
3,118,DEV,fear,73,0.76866,73,55.9327,484,81.5898,82.0897,82.1397,83.0396,1.1,fear_12.png
3,119,DEV,fear,66,0.77717,66,51.669,451,84.1563,84.6229,84.6729,85.5729,1.1,fear_6.png
3,120,DEV,fear,68,0.78575,68,53.5823,418,86.6895,87.1228,87.1728,88.0727,0.1,fear_7.png
3,121,DEV,fear,71,0.74734,71,53.3988,568,88.1895,88.7727,88.8227,89.7227,9.1,fear_18.png
3,122,DEV,fear,78,0.43353,78,33.7962,2268,98.839,101.1222,101.1722,102.0721,3.1,fear_8.png
3,123,DEV,fear,0,0,0,0,4016,105.1887,109.2218,109.2719,110.1718,8.1,fear_14.png
3,124,DEV,fear,88,0.29595,88,26.0788,3801,118.2881,122.1046,122.1547,123.0545,9.1,fear_9.png
3,125,DEV,fear,84,0.28948,0,24.4038,3884,132.1709,136.0706,136.1207,137.0206,4.1,fear_24.png
3,126,DEV,fear,72,0.62785,72,45.1211,1084,141.1372,142.237,142.2871,143.187,1.1,fear_23.png
3,127,DEV,fear,87,0.36211,0,31.5302,2968,144.3037,147.2868,147.3368,148.2368,1.1,fear_2.png
3,128,DEV,fear,76,0.60368,76,45.579,1201,149.3534,150.57,150.62,151.52,6.1,fear_21.png
3,129,DEV,fear,74,0.64567,74,48.0309,1001,157.6364,158.653,158.703,159.6029,0.1,fear_4.png
3,130,DEV,fear,77,0.61739,0,47.6267,1134,159.7196,160.8695,160.9196,161.8195,0.1,fear_14.png
3,131,DEV,fear,73,0.64197,73,47.1779,1018,161.9362,162.9695,163.0195,163.9194,0.1,fear_8.png
3,132,DEV,fear,69,0.67536,0,46.3135,868,164.0527,164.936,164.9861,165.886,7.1,fear_13.png
3,133,DEV,fear,80,0.60368,0,47.9937,1201,173.0024,174.219,174.269,175.1689,2.1,fear_3.png
3,134,DEV,fear,79,0.33994,0,26.7785,3234,177.2856,180.5354,180.5854,181.4854,3.1,fear_1.png
3,135,DEV,fear,71,0.68318,71,48.7492,834,184.6019,185.4518,185.5018,186.4018,0.1,fear_20.png
3,136,DEV,fear,79,0.32808,0,25.9673,3384,186.5185,189.9183,189.9683,190.8682,2.1,fear_15.png
3,137,DEV,fear,71,0.63124,0,44.6767,1068,192.9848,194.0681,194.1181,195.0181,1.1,fear_22.png
