"run","trial","rewFunc","emotion","magnitude","probability","score","ev","rt","clock_onset","isi_onset","feedback_onset","iti_onset","iti_ideal","image","pushidx"
1,1,"CEV","scram",47,0.754428571428571,0,35.4911428571429,954,2702,3729,4065,4879,0,NA,3656
1,2,"CEV","scram",53,0.677285714285714,0,35.6454285714286,1496,6228,7793,8098,8943,0,NA,7724
1,3,"CEV","scram",61,0.574285714285714,61,35.2771428571429,2216,10006,12291,12596,13441,0,NA,12222
1,4,"CEV","scram",63,0.570285714285714,0,35.8594285714286,2240,14710,17023,17328,18173,0,NA,16950
1,5,"CEV","scram",63,0.591,63,37,2099,19336,21504,21809,22655,0,NA,21435
1,6,"CEV","scram",60,0.607714285714286,60,36.3922857142857,1985,23918,25970,26275,27120,0,NA,25903
1,7,"CEV","scram",57,0.605428571428571,57,34.5782857142857,1991,28634,30701,31006,31852,0,NA,30625
1,8,"CEV","scram",64,0.610142857142857,0,38.8304285714286,1969,33265,35300,35605,36450,0,NA,35234
1,9,"CEV","scram",70,0.553142857142857,70,38.6594285714286,2368,37464,39898,40203,41049,0,NA,39832
1,10,"CEV","scram",63,0.543571428571429,63,34.2821428571429,2422,42563,45063,45368,46213,0,NA,44985
1,11,"CEV","scram",65,0.541285714285714,0,35.3761428571429,2454,47478,49994,50299,51145,0,NA,49932
1,12,"CEV","scram",66,0.584142857142857,0,38.7524285714286,2146,52659,54876,55181,56026,0,NA,54805
1,13,"CEV","scram",81,0.481857142857143,0,38.9274285714286,2854,57291,60224,60529,61374,0,NA,60145
1,14,"CEV","scram",86,0.431857142857143,0,37,3217,62390,65672,65977,66823,0,NA,65607
1,15,"CEV","scram",61,0.653285714285714,61,39.6131428571429,1665,67888,69621,69936,70771,0,NA,69553
1,16,"CEV","scram",58,0.662857142857143,58,38.3257142857143,1586,72037,73703,74008,74853,0,NA,73623
1,17,"CEV","scram",52,0.678142857142857,0,34.9655714285714,1477,75976,77535,77840,78685,0,NA,77453
1,18,"CEV","scram",60,0.612857142857143,60,37,1950,80051,82067,82372,83217,0,NA,82001
1,19,"CEV","scram",66,0.610571428571429,0,40.0528571428571,1957,84733,86765,87070,87915,0,NA,86690
1,20,"CEV","scram",70,0.558285714285714,70,39.2331428571429,2325,89382,91780,92085,92930,0,NA,91707
1,21,"CEV","scram",65,0.565428571428571,65,37,2273,94397,96745,97050,97895,0,NA,96670
1,22,"CEV","scram",70,0.551142857142857,0,38.6534285714286,2373,98912,101360,101665,102510,0,NA,101285
1,23,"CEV","scram",61,0.615428571428571,61,37.6154285714286,1922,103528,105525,105830,106675,0,NA,105450
1,24,"CEV","scram",59,0.627428571428571,59,37,1840,107893,109807,110112,110957,0,NA,109733
1,25,"CEV","scram",63,0.575,63,36.425,2201,112175,114455,114760,115605,0,NA,114376
1,26,"CEV","scram",69,0.556,0,38.112,2337,116974,119387,119692,120537,0,NA,119311
1,27,"CEV","scram",61,0.632142857142857,61,38.2642857142857,1809,121655,123535,123840,124686,0,NA,123464
1,28,"CEV","scram",62,0.627428571428571,62,38.8822857142857,1844,125954,127867,128172,129017,0,NA,127798
1,29,"CEV","scram",59,0.608428571428571,59,35.7831428571429,1968,130286,132332,132637,133483,0,NA,132254
1,30,"CEV","scram",61,0.641857142857143,61,38.9255714285714,1748,134502,136314,136619,137464,0,NA,136250
1,31,"CEV","scram",57,0.637142857142857,0,36.3628571428571,1770,138834,140679,140984,141830,0,NA,140604
1,32,"CEV","scram",61,0.563571428571429,61,34.1821428571429,2298,143200,145561,145866,146711,0,NA,145498
1,33,"CEV","scram",66,0.549142857142857,66,36.4508571428571,2392,147781,150243,150548,151393,0,NA,150173
1,34,"CEV","scram",74,0.520714285714286,0,38.5621428571429,2591,152913,155574,155879,156724,0,NA,155504
1,35,"CEV","scram",68,0.565857142857143,68,38.6975714285714,2275,158145,160489,160794,161639,0,NA,160420
1,36,"CEV","scram",63,0.575571428571429,0,36.4244285714286,2204,163027,165304,165609,166454,0,NA,165231
1,37,"CEV","scram",55,0.625428571428571,55,34.4982857142857,1858,167525,169452,169757,170603,0,NA,169383
1,38,"CEV","scram",58,0.635142857142857,0,37,1791,171974,173834,174140,174985,0,NA,173765
1,39,"CEV","scram",72,0.542142857142857,72,39.1685714285714,2442,176106,178616,178921,179766,0,NA,178548
1,40,"CEV","scram",66,0.530285714285714,0,34.8788571428571,2510,181088,183681,183986,184831,0,NA,183598
1,41,"CEV","scram",57,0.620857142857143,57,35.1374285714286,1887,186103,188063,188368,189213,0,NA,187990
1,42,"CEV","scram",68,0.561285714285714,68,38.1225714285714,2310,190335,192711,193016,193861,0,NA,192645
1,43,"CEV","scram",61,0.625714285714286,0,38.2514285714286,1858,195234,197159,197464,198310,0,NA,197092
1,44,"CEV","scram",72,0.542428571428571,0,39.1697142857143,2435,199332,201841,202146,202991,0,NA,201767
1,45,"CEV","scram",53,0.673285714285714,53,35.6534285714286,1522,204464,206056,206361,207207,0,NA,205986
1,46,"CEV","scram",50,0.695,50,34.915,1361,208481,209922,210227,211072,0,NA,209842
1,47,"CEV","scram",58,0.673428571428571,58,39.0202857142857,1519,212395,213987,214292,215137,0,NA,213914
1,48,"CEV","scram",57,0.640142857142857,57,36.3598571428571,1743,216561,218385,218690,219536,0,NA,218304
1,49,"CEV","scram",62,0.623428571428571,62,38.8702857142857,1874,220809,222750,223055,223901,0,NA,222683
1,50,"CEV","scram",56,0.606857142857143,56,33.9657142857143,1987,225324,227382,227687,228532,0,NA,227311
1,51,"CEV","scram",67,0.580714285714286,0,38.7421428571429,2178,229806,232047,232352,233197,0,NA,231984
1,52,"CEV","scram",59,0.657,59,38.971,1639,234322,236029,236334,237179,0,NA,235961
1,53,"CEV","scram",59,0.659285714285714,0,38.9778571428571,1628,238404,240094,240399,241245,0,NA,240032
1,54,"CEV","scram",68,0.571285714285714,68,38.7138571428571,2241,242619,244926,245231,246076,0,NA,244860
1,55,"CEV","scram",64,0.561857142857143,0,35.8762857142857,2300,247402,249774,250079,250925,0,NA,249702
1,56,"CEV","scram",65,0.621428571428571,65,40.1071428571429,1890,252401,254356,254661,255506,0,NA,254291
1,57,"CEV","scram",57,0.654714285714286,0,37,1644,256582,258305,258610,259455,0,NA,258226
1,58,"CEV","scram",65,0.595285714285714,0,38.7858571428571,2060,260581,262720,263025,263870,0,NA,262641
1,59,"CEV","scram",73,0.488142857142857,73,35.5355714285714,2820,265046,267934,268240,269085,0,NA,267866
1,60,"CEV","scram",70,0.504857142857143,0,35.4854285714286,2706,270461,273233,273538,274383,0,NA,273167
1,61,"CEV","scram",66,0.588142857142857,0,38.7644285714286,2112,275559,277748,278053,278898,0,NA,277671
1,62,"CEV","scram",52,0.681,52,35.638,1463,279925,281463,281768,282613,0,NA,281388
1,63,"CEV","scram",50,0.671571428571429,0,33.6421428571429,1525,284140,285745,286050,286895,0,NA,285665
2,64,"IEV","happy",36,0.771728795193603,0,27.4571346205918,1859,2531,4458,4764,5608,0,NA,4390
2,65,"IEV","happy",25,0.851048224383894,25,21.6651990459823,1158,6759,7990,8295,9140,0,NA,7917
2,66,"IEV","happy",26,0.843068160214049,0,21.7747564006633,1248,10618,11939,12244,13089,0,NA,11866
2,67,"IEV","happy",42,0.774958446400219,42,32.5860825405219,1837,14217,16121,16426,17271,0,NA,16054
2,68,"IEV","happy",44,0.72453638251085,0,32.2223184878404,2162,18699,20936,21241,22086,0,NA,20861
2,69,"IEV","happy",43,0.770312425268198,0,32.9781590071508,1866,23564,25501,25806,26651,0,NA,25430
2,70,"IEV","happy",56,0.6578767256568,56,37.1520287462526,2551,27780,30399,30704,31549,0,NA,30331
2,71,"IEV","happy",67,0.626630944912243,67,41.740648710877,2712,32628,35414,35719,36564,0,NA,35340
2,72,"IEV","happy",83,0.550597286820471,0,45.4429539940907,3101,38043,41212,41517,42362,0,NA,41144
2,73,"IEV","happy",53,0.676245488184781,53,35.8640912912831,2438,43541,46060,46365,47210,0,NA,45979
2,74,"IEV","happy",54,0.705410870593036,0,37.9445658802297,2257,48340,50692,50997,51842,0,NA,50597
2,75,"IEV","happy",41,0.742348935380737,41,30.7721675753399,2050,53083,55207,55512,56357,0,NA,55133
2,76,"IEV","happy",39,0.779934585245874,39,30.5998038306515,1793,57788,59655,59960,60806,0,NA,59581
2,77,"IEV","happy",50,0.722088643103354,50,36.0271694143002,2184,61886,64137,64442,65287,0,NA,64070
2,78,"IEV","happy",55,0.688310655925301,55,37.7436904270246,2386,66518,68969,69274,70119,0,NA,68904
2,79,"IEV","happy",59,0.661371487030563,0,38.8948944941659,2531,71400,74000,74306,75151,0,NA,73931
2,80,"IEV","happy",42,0.761074956686744,42,32.2190948580781,1932,76381,78382,78687,79532,0,NA,78313
2,81,"IEV","happy",43,0.761074956686744,43,32.9801698147649,1934,80763,82764,83069,83914,0,NA,82697
2,82,"IEV","happy",38,0.758719436642215,38,28.6214348508437,1944,85196,87212,87518,88363,0,NA,87140
2,83,"IEV","happy",52,0.719626601715335,0,37.648520297002,2193,89444,91711,92016,92861,0,NA,91637
2,84,"IEV","happy",31,0.797719501455346,31,24.9921133590937,1667,93943,95676,95981,96826,0,NA,95610
