run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image
1,1,DEV,scram,86,0.34123,0,29.2545,3218,8.0703,11.3035,11.3707,12.2535,5.1,scram_2.png
1,2,DEV,scram,70,0.75997,70,53.2357,518,17.3866,17.9199,17.9699,18.8698,1.1,scram_7.png
1,3,DEV,scram,74,0.56184,0,41.3412,1418,19.9864,21.4197,21.4864,22.3697,2.1,scram_20.png
1,4,DEV,scram,66,0.76866,66,50.552,484,24.4863,24.9862,25.0363,25.9362,5.1,scram_12.png
1,5,DEV,scram,64,0.83021,64,52.7809,251,31.0692,31.3359,31.3859,32.2858,0.1,scram_19.png
1,6,DEV,scram,76,0.69085,76,52.6006,801,32.4025,33.2191,33.2858,34.1691,0.1,scram_4.png
1,7,DEV,scram,71,0.71051,71,50.1408,718,34.2857,35.0191,35.0691,35.969,1.1,scram_15.png
1,8,DEV,scram,75,0.44808,0,33.4066,2151,37.0856,39.2522,39.3188,40.2021,0.1,scram_24.png
1,9,DEV,scram,71,0.74333,71,52.4625,584,40.3022,40.9021,40.9521,41.8521,3.1,scram_5.png
1,10,DEV,scram,74,0.75161,0,55.8577,551,44.9686,45.5352,45.5852,46.4852,3.1,scram_9.png
1,11,DEV,scram,70,0.79888,70,55.7101,368,49.5851,49.9684,50.0183,50.9183,0.1,scram_18.png
1,12,DEV,scram,72,0.75997,72,54.7556,518,51.0683,51.6016,51.6516,52.5516,1.1,scram_3.png
1,13,DEV,scram,73,0.80338,73,58.3052,351,53.6682,54.0348,54.0848,54.9848,1.1,scram_21.png
1,14,DEV,scram,71,0.81672,71,58.0587,301,56.1014,56.418,56.468,57.368,1.1,scram_17.png
1,15,DEV,scram,67,0.77717,67,52.4462,451,58.4846,58.9513,59.0013,59.9012,4.1,scram_1.png
1,16,DEV,scram,69,0.8079,69,56.0778,334,64.0177,64.3677,64.4177,65.3176,10.1,scram_16.png
1,17,DEV,scram,70,0.71872,0,50.5453,684,75.4172,76.1171,76.1671,77.0671,1.1,scram_14.png
1,18,DEV,scram,78,0.40175,0,31.2829,2551,78.1837,80.7502,80.8002,81.7002,2.1,scram_6.png
1,19,DEV,scram,80,0.34939,0,28.117,3118,83.8168,86.9499,87,87.8999,5.1,scram_22.png
1,20,DEV,scram,72,0.80338,72,57.5018,351,93.0163,93.383,93.433,94.3329,0.1,scram_23.png
1,21,DEV,scram,75,0.78575,0,59.0825,418,94.4496,94.8829,94.9329,95.8329,0.1,scram_13.png
1,22,DEV,scram,65,0.81217,65,52.9988,318,95.9495,96.2828,96.3329,97.2328,0.1,scram_25.png
1,23,DEV,scram,70,0.7146,70,50.3434,701,97.3494,98.0661,98.1161,99.0161,0.1,scram_11.png
1,24,DEV,scram,69,0.76431,0,52.6676,501,99.1327,99.6493,99.6994,100.5994,4.1,scram_10.png
1,25,DEV,scram,67,0.79045,0,52.9847,400,104.7164,105.1324,105.1824,106.0824,2.1,scram_8.png
1,26,DEV,scram,67,0.81672,0,54.7918,301,108.1823,108.4989,108.5489,109.4489,8.1,scram_21.png
1,27,DEV,scram,68,0.78575,68,53.5823,418,117.5485,117.9818,118.0319,118.9318,4.1,scram_16.png
1,28,DEV,scram,69,0.8079,69,56.0778,334,123.0649,123.4149,123.4649,124.3648,0.1,scram_14.png
1,29,DEV,scram,76,0.69085,76,52.6006,801,124.4649,125.2815,125.3315,126.2314,3.1,scram_19.png
1,30,DEV,scram,73,0.70263,73,51.1517,751,129.3314,130.0979,130.1479,131.0479,2.1,scram_23.png
